ïWèÄïÒèVéwêî,BR,
îÌï€åØé“éÌï ,1,2
îNóÓ,,
15,0.532276355,0.35212597
16,0.59603488,0.463355454
17,0.642688782,0.575774231
18,0.666565484,0.686306916
19,0.867311576,0.862844514
20,1,1
21,1.068527703,1.051440046
22,1.114383861,1.121063844
23,1.172844601,1.246119264
24,1.262624541,1.352892977
25,1.343992493,1.43488183
26,1.415026831,1.48786799
27,1.477456679,1.518201695
28,1.535764848,1.537549839
29,1.593818776,1.554670227
30,1.650937442,1.567580155
31,1.70738059,1.578419269
32,1.763709022,1.591490249
33,1.820687043,1.610587542
34,1.879368797,1.638802879
35,1.938451206,1.676772759
36,1.996310556,1.721848326
37,2.052177515,1.770915681
38,2.106539476,1.821321899
39,2.159805523,1.870487196
40,2.210684057,1.91667535
41,2.257469016,1.959666264
42,2.299606422,1.999987494
43,2.338053679,2.037164333
44,2.374009832,2.072424117
45,2.40752524,2.106605942
46,2.440152654,2.140688031
47,2.473437868,2.17515152
48,2.507973635,2.209239226
49,2.542609934,2.239141599
50,2.574778385,2.262661748
51,2.6021553,2.280268439
52,2.62667838,2.294399611
53,2.649944944,2.306448174
54,2.671041732,2.316496775
55,2.688069034,2.323904959
56,2.700651128,2.330422602
57,2.709369445,2.338905357
58,2.715777787,2.351448376
59,2.721218029,2.366953266
60,2.725704049,2.383556641
61,1.962329336,1.780734894
62,1.998047659,1.857858813
63,2.039261697,1.934516458
64,2.093859752,1.978398473
65,2.161855782,1.981359156
66,2.229082868,1.958282207
67,2.27784836,1.938266822
68,2.299764518,1.944893893
69,2.297622074,1.972569119
70,2.297622074,1.972569119
71,2.297622074,1.972569119
72,2.297622074,1.972569119
73,2.297622074,1.972569119
74,2.297622074,1.972569119
êVãKâ¡ì¸ïÒèV,BN,
îÌï€åØé“éÌï ,1,2
îNóÓ,,
15,1708800,1095380
16,1913487,1441388
17,2063263,1791096
18,2139916,2134937
19,2784384,2684103
20,3210362,3110761
21,3430360,3270779
22,3577575,3487362
23,3765255,3876379
24,4053481,4208527
25,4314702,4463574
26,4542748,4628402
27,4743170,4722762
28,4930360,4782950
29,5116735,4836207
30,5300106,4876367
31,5481309,4910085
32,5662144,4950746
33,5845064,5010153
34,6033453,5097924
35,6223129,5216039
36,6408879,5356258
37,6588232,5508895
38,6762753,5665697
39,6933757,5818638
40,7097095,5962319
41,7247292,6096053
42,7382568,6221483
43,7505998,6337131
44,7621430,6446816
45,7729026,6553147
46,7833772,6659169
47,7940630,6766376
48,8051502,6872415
49,8162697,6965434
50,8265970,7038600
51,8353859,7093370
52,8432587,7137329
53,8507281,7174809
54,8575010,7206068
55,8629673,7229113
56,8670067,7249388
57,8698056,7275775
58,8718629,7314794
59,8736094,7363026
60,8750496,7414675
61,6299787,5539440
62,6414455,5779355
63,6546767,6017818
64,6722047,6154325
65,6940339,6163535
66,7156162,6091748
67,7312717,6029485
68,7383076,6050100
69,7376198,6136191
70,7376198,6136191
71,7376198,6136191
72,7376198,6136191
73,7376198,6136191
74,7376198,6136191
