標準報酬指数,BR,,
被保険者種別,1,2,3
年齢,,,
15,0.631348502,0.644338777,0.841788015
16,0.690749165,0.723825041,0.874478048
17,0.755518164,0.798828293,0.906153368
18,0.834005607,0.870888479,0.933303373
19,0.921237087,0.938210146,0.960977427
20,1,1,1
21,1.060831814,1.061680719,1.061499798
22,1.107100295,1.125754763,1.146171801
23,1.156364189,1.197752375,1.242803651
24,1.221872102,1.269445005,1.332369006
25,1.295566859,1.325913272,1.400120708
26,1.361706733,1.360314771,1.450334701
27,1.417986192,1.37913202,1.48989578
28,1.467528002,1.390072115,1.523987706
29,1.514869435,1.396829934,1.556814993
30,1.559271081,1.399712318,1.5889607
31,1.601395617,1.401300041,1.619343143
32,1.641625755,1.404275274,1.645779853
33,1.681271005,1.410427549,1.667659086
34,1.72159791,1.419809558,1.683554072
35,1.762001773,1.430700457,1.692102716
36,1.800182581,1.441227666,1.695740119
37,1.834014878,1.450224674,1.69687549
38,1.863651331,1.458094614,1.698607312
39,1.890757554,1.465764439,1.705314043
40,1.916737205,1.474021232,1.719293822
41,1.941686673,1.482681799,1.738429768
42,1.965314177,1.490984689,1.760964023
43,1.987839079,1.497770869,1.784714154
44,2.010257979,1.50229265,1.806733266
45,2.032996513,1.504432329,1.823198697
46,2.05533707,1.50524634,1.831391344
47,2.076296814,1.505865562,1.831460751
48,2.096178039,1.506932501,1.827841384
49,2.116333688,1.507836276,1.828046425
50,2.13774168,1.507746212,1.833940036
51,2.159485783,1.506574878,1.842735047
52,2.17766182,1.504876355,1.850224095
53,2.187361445,1.5023592,1.853459337
54,2.186820632,1.497778422,1.853796129
55,2.178394651,1.489686828,1.852699605
56,2.16474756,1.478060585,1.851096501
57,2.147384828,1.4643313,1.84782496
58,2.126389145,1.45042648,1.842182537
59,2.101574128,1.437139033,1.835412587
60,1.720081974,1.319475212,1.805516263
61,1.634298023,1.273231902,1.725210414
62,1.565612267,1.238561022,1.66106889
63,1.508275504,1.214447824,1.613518295
64,1.45152793,1.195245773,1.573995905
65,1.389301664,1.1758438,1.531443282
66,1.32248382,1.154133738,1.479443297
67,1.269321844,1.138476742,1.420404142
68,1.240891128,1.135231127,1.36110511
69,1.236787801,1.144669772,1.30889862
70,1.245121385,1.159936584,1.268370297
71,1.253348871,1.173037456,1.243377389
72,1.254195412,1.18026768,1.232992886
73,1.246540872,1.181919249,1.230795901
74,1.235928025,1.181958224,1.230003722
75,1.227511151,1.183667842,1.227822183
76,1.219022747,1.185605656,1.225003904
77,1.210639535,1.187436566,1.222141433
78,1.20229483,1.189266441,1.219291899
79,1.193906253,1.191116237,1.216441948
80,1.185539144,1.192953322,1.213589937
81,1.177166038,1.194795049,1.210739334
82,1.168792948,1.19663606,1.207888191
83,1.160420928,1.198476699,1.205037144
84,1.152048212,1.200317707,1.202186133
新規加入報酬,BN,,
被保険者種別,1,2,3
年齢,,,
15,1801578,1615931,3453891
16,1971080,1815274,3502736
17,2155901,2003374,3544125
18,2379868,2184093,3571488
19,2628786,2352928,3606740
20,2853539,2507890,3693913
21,3027125,2662579,3876027
22,3159154,2823270,4154772
23,3299731,3003832,4486628
24,3486660,3183629,4799270
25,3696951,3325245,5040324
26,3885684,3411520,5223027
27,4046279,3458712,5367248
28,4187649,3486149,5490603
29,4322739,3503096,5601299
30,4449441,3510325,5704313
31,4569645,3514307,5804642
32,4684443,3521769,5899749
33,4797573,3537198,5985051
34,4912647,3560727,6050441
35,5027941,3588040,6087774
36,5136892,3614441,6104318
37,5233433,3637005,6110057
38,5318002,3656742,6114406
39,5395351,3675977,6128567
40,5469485,3696684,6164578
41,5540679,3718403,6221879
42,5608101,3739226,6293663
43,5672377,3756245,6368201
44,5736350,3767585,6437816
45,5801235,3772951,6490443
46,5864985,3774993,6519954
47,5924794,3776546,6529794
48,5981526,3779222,6531669
49,6039041,3781488,6545314
50,6100130,3781262,6575449
51,6162177,3778325,6613126
52,6214043,3774065,6643820
53,6241722,3767752,6657297
54,6240178,3756264,6659154
55,6216135,3735971,6653249
56,6177192,3706814,6646360
57,6127647,3672382,6637979
58,6067735,3637511,6626996
59,5996924,3604187,6615954
60,4908321,3309099,6533636
61,4663533,3193126,6295914
62,4467536,3106175,6098307
63,4303923,3045702,5941025
64,4141992,2997545,5802608
65,3964427,2948887,5653903
66,3773759,2894441,5479491
67,3622060,2855175,5283866
68,3540931,2847035,5086200
69,3529222,2870706,4907739
70,3553003,2908994,4764638
