ïWèÄïÒèVéwêî,BR,
îÌï€åØé“éÌï ,1,2
îNóÓ,,
15,0.477131985,0.534854267
16,0.57892256,0.627582611
17,0.682101468,0.72319506
18,0.788434856,0.81912771
19,0.899188082,0.913643987
20,1,1
21,1.080980268,1.080494477
22,1.144577006,1.161596082
23,1.202020877,1.245576011
24,1.26520965,1.327939278
25,1.337554983,1.399815223
26,1.410086371,1.452010046
27,1.475619659,1.489081561
28,1.532901791,1.515147616
29,1.58984735,1.538193046
30,1.645096233,1.558416844
31,1.700126727,1.580454805
32,1.756105403,1.60770851
33,1.813344027,1.641073896
34,1.87208716,1.679874166
35,1.932804876,1.72346797
36,1.995098105,1.771848979
37,2.057321324,1.824857693
38,2.117150954,1.881259926
39,2.172680141,1.93874994
40,2.222894744,1.995314554
41,2.267439037,2.049455102
42,2.306168988,2.100282695
43,2.33969188,2.147754975
44,2.369738697,2.192416986
45,2.398360839,2.234562886
46,2.426538982,2.274660577
47,2.453634497,2.312489634
48,2.478279572,2.347029142
49,2.499618806,2.377129085
50,2.518144983,2.402471066
51,2.535497277,2.423268515
52,2.553196511,2.440515487
53,2.571668442,2.455362273
54,2.58985607,2.467634142
55,2.606057817,2.476351975
56,2.619776684,2.481641667
57,2.63000445,2.484305109
58,2.636090056,2.485706219
59,2.637886964,2.487013835
60,2.636084781,2.488558333
61,1.555602106,1.500698701
62,1.599765889,1.519698385
63,1.653482536,1.538526536
64,1.715585825,1.555227855
65,1.781438618,1.56879393
66,2.128793535,1.606280299
67,2.174299627,1.662149592
68,2.216649248,1.695632855
69,2.255773559,1.706755297
70,2.255773559,1.706755297
71,2.255773559,1.706755297
72,2.255773559,1.706755297
73,2.255773559,1.706755297
74,2.255773559,1.706755297
êVãKâ¡ì¸ïÒèV,BN,
îÌï€åØé“éÌï ,1,2
îNóÓ,,
15,1522409,1588472
16,1847197,1863867
17,2176416,2147828
18,2515699,2432740
19,2869085,2713446
20,3190750,2969916
21,3449138,3208977
22,3652060,3449842
23,3835349,3699256
24,4036968,3943868
25,4267804,4157333
26,4499234,4312347
27,4708334,4422447
28,4891107,4499861
29,5072806,4568304
30,5249092,4628367
31,5424680,4693817
32,5603294,4774759
33,5785928,4873851
34,5973363,4989085
35,6167098,5118554
36,6365860,5262242
37,6564399,5419673
38,6755300,5587183
39,6932480,5757924
40,7092702,5925916
41,7234832,6086709
42,7358410,6237662
43,7465373,6378651
44,7561245,6511293
45,7652571,6636463
46,7742480,6755550
47,7828935,6867899
48,7907572,6970479
49,7975660,7059873
50,8034772,7135136
51,8090139,7196903
52,8146613,7248125
53,8205552,7292219
54,8263585,7328665
55,8315280,7354556
56,8359054,7370266
57,8391688,7378177
58,8411106,7382338
59,8416839,7386221
60,8411089,7390808
61,4963538,4456949
62,5104454,4513376
63,5275850,4569294
64,5474006,4618896
65,5684126,4659186
66,6792449,4770517
67,6937648,4936444
68,7072775,5035887
69,7197611,5068919
70,7197611,5068919
71,7197611,5068919
72,7197611,5068919
73,7197611,5068919
74,7197611,5068919
