ïWèÄïÒèVéwêî,BR,
îÌï€åØé“éÌï ,1,2
îNóÓ,,
15,0.597573668,0.458312298
16,0.678582601,0.563293389
17,0.757969141,0.666397863
18,0.832838529,0.768120075
19,0.90809222,0.877675941
20,1,1
21,1.130169482,1.137938031
22,1.294798834,1.281657261
23,1.465372637,1.410984764
24,1.609167166,1.507070189
25,1.711871658,1.564964551
26,1.789415934,1.599959689
27,1.864103344,1.621108309
28,1.948356433,1.639213925
29,2.038556846,1.659093536
30,2.128390159,1.677303111
31,2.220325546,1.695159032
32,2.313402212,1.713382815
33,2.406687468,1.732495612
34,2.500131257,1.752803298
35,2.594191843,1.776256602
36,2.69050991,1.805769224
37,2.787690286,1.842353711
38,2.881606108,1.884482244
39,2.967588267,1.926769044
40,3.045549638,1.964031988
41,3.117106659,1.993011723
42,3.183963727,2.016021731
43,3.246953856,2.038185873
44,3.306095484,2.06324341
45,3.36271777,2.091928942
46,3.41876211,2.123385517
47,3.474011193,2.155717522
48,3.526163303,2.1867805
49,3.572196261,2.213844293
50,3.613150902,2.236293854
51,3.652485333,2.255283053
52,3.688046616,2.274812279
53,3.714234927,2.297859443
54,3.727147493,2.324126855
55,3.730785337,2.351562277
56,3.733958882,2.379216791
57,3.738966293,2.406915995
58,3.740735241,2.43474229
59,3.73152306,2.461954722
60,3.709234041,2.488420293
61,3.234326578,2.284539596
62,3.216317384,2.291860254
63,3.185084795,2.291387541
64,3.114556604,2.272557901
65,3.006692745,2.239228033
66,2.887772699,2.204782788
67,2.791451678,2.183764216
68,2.734006638,2.180820503
69,2.706785741,2.190180218
70,2.706785741,2.190180218
71,2.706785741,2.190180218
72,2.706785741,2.190180218
73,2.706785741,2.190180218
74,2.706785741,2.190180218
êVãKâ¡ì¸ïÒèV,BN,
îÌï€åØé“éÌï ,1,2
îNóÓ,,
15,1357345,1139278
16,1541351,1400242
17,1721672,1656540
18,1891732,1909402
19,2062665,2181738
20,2271427,2485812
21,2567098,2828700
22,2941041,3185959
23,3328487,3507443
24,3655106,3746294
25,3888392,3890208
26,4064528,3977200
27,4234175,4029771
28,4425550,4074778
29,4630434,4124195
30,4834484,4169461
31,5043308,4213847
32,5254725,4259148
33,5466616,4306659
34,5678866,4357140
35,5892518,4415441
36,6111298,4488803
37,6332036,4579746
38,6545359,4684469
39,6740661,4789586
40,6917745,4882215
41,7080281,4954253
42,7232142,5011452
43,7375220,5066548
44,7509556,5128836
45,7638169,5200143
46,7765470,5278338
47,7890964,5358709
48,8009424,5435926
49,8113984,5503201
50,8207010,5559007
51,8296355,5606210
52,8377130,5654756
53,8436615,5712047
54,8465945,5777343
55,8474208,5845543
56,8481416,5914286
57,8492790,5983142
58,8496808,6052312
59,8475883,6119957
60,8425255,6185746
61,7346538,5678937
62,7305631,5697135
63,7234689,5695959
64,7074489,5649152
65,6829484,5566301
66,6559366,5480676
67,6340580,5428428
68,6210097,5421111
69,6148267,5444377
70,6148267,5444377
71,6148267,5444377
72,6148267,5444377
73,6148267,5444377
74,6148267,5444377
