国共済2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
14,0,0,0,,,,,,,,
15,0.000148333,0.008237864,0,,,,,,,,
16,0.000188333,0.008278837,0,,,,,,,,
17,0.000238333,0.008327366,0,,,,,,,,
18,0.000293333,0.008381196,0,,,,,,,,
19,0.000346667,0.008437452,0.050138081,,,,,,,,
20,0.000401667,0.00849182,0.049505284,,,,,,,,
21,0.000451667,0.008538346,0.049149151,,,,,,,,
22,0.000486667,0.008570531,0.049006245,,,,,,,,
23,0.0005,0.008584269,0.049382422,,,,,,,,
24,0.000495,0.008581873,0.049726709,,,,,,,,
25,0.00048,0.008571904,0.049238239,,,,,,,,
26,0.00047,0.008564249,0.047838175,,,,,,,,
27,0.000475,0.008565125,0.047080104,,,,,,,,
28,0.000486667,0.008574835,0.047762937,,,,,,,,
29,0.000503333,0.008590204,0.050774714,,,,,,,,
30,0.000521667,0.008608817,0.055702198,,,,,,,,
31,0.00054,0.008630869,0.051697095,,,,,,,,
32,0.000566667,0.008657554,0.047691991,,,,,,,,
33,0.0006,0.008688097,0.043686888,,,,,,,,
34,0.000633333,0.008719639,0.039681785,,,,,,,,
35,0.000665,0.008749905,0.035676681,,,,,,,,
36,0.000691667,0.008780304,0.031671578,,,,,,,,
37,0.000723333,0.008815918,0.027594979,,,,,,,,
38,0.00077,0.008861492,0.023605749,,,,,,,,
39,0.00083,0.008960297,0.020548686,,,,,,,,
40,0.000898333,0.009013356,0.018845862,,,,,,,,
41,0.00097,0.00896159,0.018103182,,,,,,,,
42,0.001048333,0.00878313,0.017269427,,,,,,,,
43,0.001138333,0.008633361,0.015603358,,,,,,,,
44,0.001246667,0.008724235,0.013121451,,,,,,,,
45,0.00138,0.009261284,0.010337131,,,,,,,,
46,0.001533333,0.01015139,0.008199705,,,,,,,,
47,0.0017,0.011188559,0.00688566,,,,,,,,
48,0.001883333,0.012107451,0.006276972,,,,,,,,
49,0.002085,0.01293646,0.006113446,,,,,,,,
50,0.002308333,0.013743116,0.005955428,,,,,,,,
51,0.00256,0.014640345,0.005618832,,,,,,,,
52,0.002833333,0.015509734,0.005084692,,,,,,,,
53,0.003123333,0.016401949,0.00464072,,,,,,,,
54,0.003436667,0.017497846,0.004266613,,,,,,,,
55,0.003776667,0.018916908,0.003895475,,,,,,,,
56,0.004146667,0.02063904,0.003429615,,,,,,,,
57,0.004548333,0.022582093,0.003028412,,,,,,,,
58,0.00499,0.024491349,0.002872617,,,,,,,,
59,0.00548,0.02626925,0.002993462,,,,,,,,
60,0.006026667,0.027922546,0.003305825,,,,,,,,
61,0.00664,0.029499551,0.003740339,,,,,,,,
62,0.007315,0.030948841,0.004129032,,,,,,,,
63,0.008043333,0.032352166,0.004422102,,,,,,,,
64,0.008831667,0.033805535,0.004640747,,,,,,,,
65,0.009703333,0.03246466,0.004846511,,,,,,,,
66,0.009548294,0.03852055,0.005086075,,,,,,,,
67,0.010627145,0.041098352,0.005425267,,,,,,,,
68,0.011797677,0.043582294,0.005835937,,,,,,,,
69,0.013104208,0.046085401,0.006273502,,,,,,,,
70,0.014481071,0.048913277,0.006726203,,,,,,,,
