厚生年金2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
14,0,0,0,,,,,,,,
15,0.000148333,0.005370084,0,,,,,,,,
16,0.000188333,0.005417395,0,,,,,,,,
17,0.000238333,0.005466949,0,,,,,,,,
18,0.000293333,0.005518487,0,,,,,,,,
19,0.000346667,0.005570144,0.050138081,,,,,,,,
20,0.000401667,0.005618447,0.049505284,,,,,,,,
21,0.000451667,0.005658934,0.049149151,,,,,,,,
22,0.000486667,0.005687818,0.049006245,,,,,,,,
23,0.0005,0.005703835,0.049382422,,,,,,,,
24,0.000495,0.005709015,0.049726709,,,,,,,,
25,0.00048,0.005707934,0.049238239,,,,,,,,
26,0.00047,0.005713712,0.047838175,,,,,,,,
27,0.000475,0.005716838,0.047080104,,,,,,,,
28,0.000486667,0.005703945,0.047762937,,,,,,,,
29,0.000503333,0.005666859,0.050774714,,,,,,,,
30,0.000521667,0.00561153,0.055702198,,,,,,,,
31,0.00054,0.005566769,0.060462034,,,,,,,,
32,0.000566667,0.005584501,0.061584078,,,,,,,,
33,0.0006,0.005679343,0.057594504,,,,,,,,
34,0.000633333,0.00583827,0.048358233,,,,,,,,
35,0.000665,0.00606575,0.035736232,,,,,,,,
36,0.000691667,0.006360546,0.024422731,,,,,,,,
37,0.000723333,0.006695067,0.022295536,,,,,,,,
38,0.00077,0.007054815,0.019951846,,,,,,,,
39,0.00083,0.007457786,0.017380693,,,,,,,,
40,0.000898333,0.007885086,0.014741048,,,,,,,,
41,0.00097,0.008312375,0.012305315,,,,,,,,
42,0.001048333,0.008743485,0.010289299,,,,,,,,
43,0.001138333,0.009163217,0.008773444,,,,,,,,
44,0.001246667,0.009571596,0.007706354,,,,,,,,
45,0.00138,0.010015789,0.006928279,,,,,,,,
46,0.001533333,0.010524611,0.006270799,,,,,,,,
47,0.0017,0.011132458,0.005667023,,,,,,,,
48,0.001883333,0.011917903,0.005145374,,,,,,,,
49,0.002085,0.012929854,0.004730682,,,,,,,,
50,0.002308333,0.014125141,0.004425694,,,,,,,,
51,0.00256,0.015467794,0.004196777,,,,,,,,
52,0.002833333,0.016896324,0.004044562,,,,,,,,
53,0.003123333,0.018335369,0.003949011,,,,,,,,
54,0.003436667,0.019738628,0.003880548,,,,,,,,
55,0.003776667,0.021114445,0.003805696,,,,,,,,
56,0.004146667,0.022487519,0.003732673,,,,,,,,
57,0.004548333,0.023945862,0.003673805,,,,,,,,
58,0.00499,0.025600187,0.003679701,,,,,,,,
59,0.00548,0.027486005,0.00376152,,,,,,,,
60,0.006026667,0.029582904,0.003907933,,,,,,,,
61,0.00664,0.031852814,0.004089408,,,,,,,,
62,0.007315,0.034211131,0.004300121,,,,,,,,
63,0.008043333,0.036586702,0.004533627,,,,,,,,
64,0.008831667,0.038949955,0.004802906,,,,,,,,
65,0.009703333,0.063688633,0.005110657,,,,,,,,
66,0.010027056,0.043630506,0.005463289,,,,,,,,
67,0.011170763,0.04525077,0.005846012,,,,,,,,
68,0.012348146,0.047144954,0.006258335,,,,,,,,
69,0.013581344,0.04936041,0.006710945,,,,,,,,
70,0.014918254,0.051991077,0.007234271,,,,,,,,
