地共済2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
14,0,0,0,,,,,,,,
15,0.000148333,0.016512509,0,,,,,,,,
16,0.000188333,0.016553482,0,,,,,,,,
17,0.000238333,0.016602011,0,,,,,,,,
18,0.000293333,0.016655841,0,,,,,,,,
19,0.000346667,0.016712097,0.050138081,,,,,,,,
20,0.000401667,0.016766466,0.049505284,,,,,,,,
21,0.000451667,0.016812992,0.049149151,,,,,,,,
22,0.000486667,0.016845176,0.049006245,,,,,,,,
23,0.0005,0.016858914,0.049382422,,,,,,,,
24,0.000495,0.016856518,0.049726709,,,,,,,,
25,0.00048,0.016846549,0.049238239,,,,,,,,
26,0.00047,0.016838894,0.047838175,,,,,,,,
27,0.000475,0.01683977,0.047080104,,,,,,,,
28,0.000486667,0.016849481,0.047762937,,,,,,,,
29,0.000503333,0.01686485,0.050774714,,,,,,,,
30,0.000521667,0.016883463,0.055702198,,,,,,,,
31,0.00054,0.016905515,0.050489321,,,,,,,,
32,0.000566667,0.0169322,0.045276444,,,,,,,,
33,0.0006,0.016962742,0.040063567,,,,,,,,
34,0.000633333,0.016994284,0.03485069,,,,,,,,
35,0.000665,0.01702455,0.029637813,,,,,,,,
36,0.000691667,0.01705495,0.024424936,,,,,,,,
37,0.000723333,0.017090563,0.020594602,,,,,,,,
38,0.00077,0.017136138,0.018363227,,,,,,,,
39,0.00083,0.017192911,0.018186006,,,,,,,,
40,0.000898333,0.017258745,0.019639154,,,,,,,,
41,0.00097,0.017331093,0.02141107,,,,,,,,
42,0.001048333,0.017411001,0.022357361,,,,,,,,
43,0.001138333,0.017461495,0.022112797,,,,,,,,
44,0.001246667,0.017572453,0.021217194,,,,,,,,
45,0.00138,0.017881005,0.019965074,,,,,,,,
46,0.001533333,0.018302553,0.018334932,,,,,,,,
47,0.0017,0.018563274,0.016222656,,,,,,,,
48,0.001883333,0.018439688,0.014005797,,,,,,,,
49,0.002085,0.018203364,0.011829782,,,,,,,,
50,0.002308333,0.018342454,0.009928571,,,,,,,,
51,0.00256,0.019005402,0.008333924,,,,,,,,
52,0.002833333,0.02013461,0.006952115,,,,,,,,
53,0.003123333,0.021531114,0.005566172,,,,,,,,
54,0.003436667,0.023041688,0.004370225,,,,,,,,
55,0.003776667,0.024592262,0.003440459,,,,,,,,
56,0.004146667,0.026196954,0.002662509,,,,,,,,
57,0.004548333,0.027841576,0.002091427,,,,,,,,
58,0.00499,0.02942969,0.001907113,,,,,,,,
59,0.00548,0.031011144,0.001920776,,,,,,,,
60,0.006026667,0.032554199,0.001973025,,,,,,,,
61,0.00664,0.033813286,0.002013525,,,,,,,,
62,0.007315,0.034779275,0.002025009,,,,,,,,
63,0.008043333,0.035654102,0.002078215,,,,,,,,
64,0.008831667,0.036580646,0.00222418,,,,,,,,
65,0.009703333,0.038660873,0.002489932,,,,,,,,
66,0.007784808,0.03780527,0.00283435,,,,,,,,
67,0.008668201,0.038158316,0.003256958,,,,,,,,
68,0.009628017,0.039668643,0.003717014,,,,,,,,
69,0.010672881,0.042371677,0.004218857,,,,,,,,
70,0.011757242,0.045063257,0.004731758,,,,,,,,
