私学共済2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
14,0,0,0,,,,,,,,
15,0.000148333,0.033526606,0,,,,,,,,
16,0.000188333,0.033567578,0,,,,,,,,
17,0.000238333,0.033616108,0,,,,,,,,
18,0.000293333,0.033669938,0,,,,,,,,
19,0.000346667,0.033726194,0.050138081,,,,,,,,
20,0.000401667,0.033780562,0.049505284,,,,,,,,
21,0.000451667,0.033827088,0.049149151,,,,,,,,
22,0.000486667,0.033859273,0.049006245,,,,,,,,
23,0.0005,0.033873011,0.049382422,,,,,,,,
24,0.000495,0.033870615,0.049726709,,,,,,,,
25,0.00048,0.033860646,0.049238239,,,,,,,,
26,0.00047,0.03385299,0.047838175,,,,,,,,
27,0.000475,0.033853867,0.047080104,,,,,,,,
28,0.000486667,0.033863577,0.047762937,,,,,,,,
29,0.000503333,0.033878946,0.050774714,,,,,,,,
30,0.000521667,0.033897559,0.055702198,,,,,,,,
31,0.00054,0.033919611,0.054515318,,,,,,,,
32,0.000566667,0.033946296,0.053328438,,,,,,,,
33,0.0006,0.033976839,0.052141558,,,,,,,,
34,0.000633333,0.034008381,0.050954677,,,,,,,,
35,0.000665,0.034038647,0.049767797,,,,,,,,
36,0.000691667,0.034069046,0.048580917,,,,,,,,
37,0.000723333,0.03410466,0.033442165,,,,,,,,
38,0.00077,0.034150234,0.022598992,,,,,,,,
39,0.00083,0.034207007,0.016860325,,,,,,,,
40,0.000898333,0.034272842,0.015115999,,,,,,,,
41,0.00097,0.034345189,0.014626493,,,,,,,,
42,0.001048333,0.034425098,0.013175508,,,,,,,,
43,0.001138333,0.034517525,0.011318319,,,,,,,,
44,0.001246667,0.034627773,0.009222525,,,,,,,,
45,0.00138,0.034758367,0.007227241,,,,,,,,
46,0.001533333,0.034908498,0.005381612,,,,,,,,
47,0.0017,0.035075927,0.004004394,,,,,,,,
48,0.001883333,0.035260098,0.003002998,,,,,,,,
49,0.002085,0.035463385,0.002760674,,,,,,,,
50,0.002308333,0.035688767,0.003326545,,,,,,,,
51,0.00256,0.035914601,0.004044577,,,,,,,,
52,0.002833333,0.036225193,0.004179088,,,,,,,,
53,0.003123333,0.036675733,0.003791353,,,,,,,,
54,0.003436667,0.037028279,0.003403927,,,,,,,,
55,0.003776667,0.036697468,0.003214974,,,,,,,,
56,0.004146667,0.036087386,0.003189178,,,,,,,,
57,0.004548333,0.036507069,0.003245005,,,,,,,,
58,0.00499,0.038728527,0.003243356,,,,,,,,
59,0.00548,0.042325536,0.003052554,,,,,,,,
60,0.006026667,0.045966018,0.00284807,,,,,,,,
61,0.00664,0.04838025,0.002902321,,,,,,,,
62,0.007315,0.049428759,0.003215569,,,,,,,,
63,0.008043333,0.050012802,0.003679411,,,,,,,,
64,0.008831667,0.050920627,0.004168299,,,,,,,,
65,0.009703333,0.079902883,0.004611782,,,,,,,,
66,0.006833039,0.060435934,0.004950744,,,,,,,,
67,0.007607135,0.055010069,0.005230834,,,,,,,,
68,0.008450199,0.04780465,0.005481568,,,,,,,,
69,0.009385334,0.047268602,0.005703079,,,,,,,,
70,0.010332755,0.049726902,0.005934346,,,,,,,,
