年齢別年金支給額割合,,,,,,,,,,,,,,,,,,,
年度,性別：男,J：額,,,,,,,,,,,,,,,,,
21,1,1,,,,,,,,,,,,,,,,,
,新法老齢退職,新法老齢在職,新法通老退職,新法通老在職,旧法老齢退職,旧法老齢在職,旧法通老退職,旧法通老在職,新法障害,旧法障害,新法遺族,旧法遺族,旧法通遺,老齢基礎,通老基礎,障害基礎,遺族基礎,障害みなし基礎,遺族基礎（親なし子）
0,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
1,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
2,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
3,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
4,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
5,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
6,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
7,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
8,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
9,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
10,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
11,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
12,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
13,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
14,0,0,0,0,0,0,0,0,0,0,0.341768853,0,0,0,0,0,0.038103643,0,0.259262805
15,0,0,0,0,0,0,0,0,0.992312776,0.963895496,0.341768853,0,0,0,0,0.998433505,0.038103643,0,0.259262805
16,0,0,0,0,0,0,0,0,0.991843167,0.963895496,0.341768853,0,0,0,0,0.998316877,0.038103643,0,0.259262805
17,0,0,0,0,0,0,0,0,0.991150206,0.963895496,0.341768853,0,0,0,0,0.998142847,0.038103643,0,0.259262805
18,0,0,0,0,0,0,0,0,0.990314106,0.963895496,0.341768853,1,1,0,0,0.997929846,0.038103643,0,0.259262805
19,0,0,0,0,0,0,0,0,0.989408953,0.963895496,0.956122042,1,1,0,0,0.997695035,0.998018474,0,0
20,0,0,0,0,0,0,0,0,0.988449418,0.963895496,0.956122042,1,1,0,0,0.997441171,0.998018474,0,0
21,0,0,0,0,0,0,0,0,0.98740295,0.963895496,0.956122042,1,1,0,0,0.997159346,0.998018474,0,0
22,0,0,0,0,0,0,0,0,0.98629777,0.963895496,0.956122042,1,1,0,0,0.996846482,0.998018474,0,0
23,0,0,0,0,0,0,0,0,0.985386731,0.963895496,0.956122042,1,1,0,0,0.996499159,0.998018474,0,0
24,0,0,0,0,0,0,0,0,0.983862651,0.963895496,0.956122042,1,1,0,0,0.996113583,0.998018474,0,0
25,0,0,0,0,0,0,0,0,0.981032507,0.963895496,0.956122042,1,1,0,0,0.99568554,0.998018474,0,0
26,0,0,0,0,0,0,0,0,0.976870681,0.963895496,0.956122042,1,1,0,0,0.99522517,0.998018474,0,0
27,0,0,0,0,0,0,0,0,0.97339885,0.963895496,0.956122042,1,1,0,0,0.994674436,0.998018474,0,0
28,0,0,0,0,0,0,0,0,0.972704228,0.963895496,0.956122042,1,1,0,0,0.994020657,0.998018474,0,0
29,0,0,0,0,0,0,0,0,0.975485055,0.963895496,0.956122042,1,1,0,0,0.993416144,0.998018474,0,0
30,0,0,0,0,0,0,0,0,0.979410832,0.963895496,0.956122042,1,1,0,0,0.992774754,0.998018474,0,0
31,0,0,0,0,0,0,0,0,0.980502301,0.963895496,0.956122042,1,1,0,0,0.991955897,0.998018474,0,0
32,0,0,0,0,0,0,0,0,0.975552874,0.963895496,0.956122042,1,1,0,0,0.990898568,0.998018474,0,0
33,0,0,0,0,0,0,0,0,0.964607931,0.963895496,0.956122042,1,1,0,0,0.989952728,0.998018474,0,0
34,0,0,0,0,0,0,0,0,0.950421393,0.963895496,0.956122042,1,1,0,0,0.98950611,0.998018474,0,0
35,0,0,0,0,0,0,0,0,0.93788006,0.963895496,0.956122042,1,1,0,0,0.989540772,0.998018474,0,0
36,0,0,0,0,0,0,0,0,0.929149316,0.963895496,0.956122042,1,1,0,0,0.98956466,0.998018474,0,0
37,0,0,0,0,0,0,0,0,0.924587849,0.963895496,0.956122042,1,1,0,0,0.988951229,0.998018474,0,0
38,0,0,0,0,0,0,0,0,0.923176213,0.963895496,0.956122042,1,1,0,0,0.987581429,0.998018474,0,0
39,0,0,0,0,0,0,0,0,0.924947254,0.963895496,0.956122042,1,1,0,0,0.986051991,0.998018474,0,0
40,0,0,0,0,0,0,0,0,0.928785009,0.963895496,0.956122042,1,1,0,0,0.984929318,0.998018474,0,0
41,0,0,0,0,0,0,0,0,0.932374973,0.963895496,0.956122042,1,1,0,0,0.984485811,0.998018474,0,0
42,0,0,0,0,0,0,0,0,0.934031354,0.963895496,0.956122042,1,1,0,0,0.984423556,0.998018474,0,0
43,0,0,0,0,0,0,0,0,0.932227631,0.963895496,0.956122042,1,1,0,0,0.984482589,0.998018474,0,0
44,0,0,0,0,0,0,0,0,0.927567398,0.963895496,0.956122042,1,1,0,0,0.98451071,0.998018474,0,0
45,0,0,0,0,0.966702814,0,0.90793646,0,0.922171469,0.963895496,0.956122042,1,1,1,1,0.984600409,0.998018474,0,0
46,0,0,0,0,0.966702814,0,0.90793646,0,0.917787956,0.963895496,0.956122042,1,1,1,1,0.984853455,0.998018474,0,0
47,0,0,0,0,0.966702814,0,0.90793646,0,0.915143262,0.963895496,0.956122042,1,1,1,1,0.985333632,0.998018474,0,0
48,0,0,0,0,0.966702814,0,0.90793646,0,0.914520369,0.963895496,0.956122042,1,1,1,1,0.985922437,0.998018474,0,0
49,0,0,0,0,0.966702814,0,0.90793646,0,0.916722589,0.963895496,0.956122042,1,1,1,1,0.986405759,0.998018474,0,0
50,0,0,0,0,0.966702814,0,0.90793646,0,0.920464535,0.963895496,0.956122042,1,1,1,1,0.986637636,0.998018474,0.950432511,0
51,0,0,0,0,0.966702814,0,0.90793646,0,0.923845964,0.963895496,0.956122042,1,1,1,1,0.986738254,0.998018474,0.950432511,0
52,0,0,0,0,0.966702814,0,0.90793646,0,0.926143542,0.963895496,0.956122042,1,1,1,1,0.98692081,0.998018474,0.950432511,0
53,0,0,0,0,0.966702814,0,0.90793646,0,0.927659396,0.963895496,0.956122042,1,1,1,1,0.987336371,0.998018474,0.950432511,0
54,0,0,0,0,0.966702814,0,0.90793646,0,0.929386778,0.963895496,0.956122042,1,1,1,1,0.987872889,0.998018474,0.950432511,0
55,0,0,0,0,0.966702814,0,0.90793646,0,0.931703962,0.965527753,0.956122042,1,1,1,1,0.988408396,0.998018474,0.951896385,0
56,0,0,0,0,0.966702814,0,0.90793646,0,0.935414563,0.966372089,0.965086239,1,1,1,1,0.988828502,0.998018474,0.951241989,0
57,0,0,0,0,0.966702814,0,0.90793646,0,0.939428472,0.964174761,0.973776151,1,1,1,1,0.989116594,0.998018474,0.949477438,0
58,0,0,0,0,0.966702814,0,0.90793646,0,0.9408046,0.952852823,0.98187093,1,1,1,1,0.989237386,0.998018474,0.94376133,0
59,0,0,0,0,0.966702814,0,0.90793646,0,0.93653436,0.930805785,0.989304257,1,1,1,1,0.989199397,0.998018474,0.931753331,0
60,0.749651185,0.647316374,0.83537943,0.055224475,0.966702814,0,0.90793646,0,0.925133325,0.90148798,0.992369867,1,1,0.999755705,0.999878456,0.989124212,0.998018474,0.913006489,0
61,0.749651185,0.647316374,0.83537943,0.055224475,0.966702814,0,0.90793646,0,0.908003007,0.870963292,0.992085427,0.977024097,0.977024097,0.999689604,0.999659694,0.989207764,0.998018474,0.889102405,0
62,0.749651185,0.647316374,0.83537943,0.055224475,0.966702814,0,0.90793646,0,0.887831983,0.843824744,0.994274526,0.926467641,0.926467641,0.99959919,0.999423335,0.989614062,0.998018474,0.862767136,0
63,0.746945847,0.641191406,0.622704918,0.50299616,0.966702814,0,0.90793646,0,0.659782661,0.833504335,0.971339677,0.855016285,0.855016285,0.999449067,0.999230154,0.990329319,0.998018474,0.822453519,0
64,0.771078344,0.641191406,0.622556331,0.50299616,0.966702814,0,0.90793646,0,0.549194642,0.785787591,0.960452603,0.773927983,0.773927983,0.999225941,0.999131329,0.925077838,0.998018474,0.870886744,0
65,0.936624366,0.664678759,0.808232944,0.379132442,0.966702814,0,0.90793646,0,0.304676553,0.656642196,0.588215655,0.646088031,0.646088031,0.984519864,0.9462355,0.956380385,0.998018474,0.73249485,0
66,0.94776245,0.617720269,0.810811999,0.390201477,0.966702814,0,0.90793646,0,0.290393911,0.656412794,0.577747314,0.637871972,0.637871972,0.984859077,0.948673924,0.959461051,0.998018474,0.726694905,0
67,0.957560318,0.571453074,0.812308372,0.383764846,0.966702814,0,0.90793646,0,0.276745133,0.655349559,0.579009515,0.632131083,0.632131083,0.985372469,0.951506489,0.961053791,0.998018474,0.723036917,0
68,0.965398761,0.514836541,0.814041347,0.352279329,0.966702814,0,0.90793646,0,0.265381824,0.655356867,0.594501303,0.630953736,0.630953736,0.986087932,0.954675918,0.960352611,0.998018474,0.72569208,0
69,0.971445369,0.447292941,0.818712762,0.303446607,0.966702814,0,0.90793646,0,0.257054924,0.657272803,0.619997881,0.635854035,0.635854035,0.986915397,0.958125836,0.957544859,0.998018474,0.73528595,0
70,0.976382461,0.38127421,0.827649715,0.255867745,0.966702814,0,0.90793646,0,0.251947042,0.656728481,0.648185992,0.645281501,0.645281501,0.987698993,0.962017077,0.953496293,0.998018474,0.743709954,0
71,0.980769686,0.333618575,0.839999904,0.226362667,0.966702814,0,0.90793646,0,0.249322745,0.652464373,0.673874887,0.657179395,0.657179395,0.98833052,0.966498995,0.949798056,0.998018474,0.743929845,0
72,0.984518286,0.313657244,0.853276925,0.217558436,0.966702814,0,0.90793646,0,0.246556797,0.643878254,0.697540062,0.670380616,0.670380616,0.988863387,0.971406843,0.947125309,0.998018474,0.733050151,0
73,0.987104022,0.316287526,0.865902202,0.21969653,0.966702814,0,0.90793646,0,0.240672166,0.632892367,0.717933923,0.682646482,0.682646482,0.989418432,0.9760278,0.944724392,0.998018474,0.716230381,0
