,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
15,202,118,29,20,14,11,10,10,9.5,8.5,7.5,7,7.5,9.5,12,15,19,23.5,29,35.5,42,47,50,52.5,54.5,55,55,54.5,54.5,55.5,57,59,61,64,68,72,75,78,82.5,90,100,110,119.5,129,140.5,155,172,190.5,211,232.5,254.5,279.5,308,339,373,411.5,453.5,496.5,539,584.5,639,708.5,792.5,881.5,970,1066.5,1175,1288,1406.5,1533.5,1673,1831,2005,2181.5,2365.5,2585,2858,3192.5,3594,4059.5,4584.5,5182,5862,6627,7488.5,8446,9474.5,10573,11771.5,13091,14556,16169.5,17957.5,19929,21942.5,23766.5,25504.5,27325.5,29173.5,31046.5,32942.5,34860,36797.5,38752,40721,100000,0,0,0,0,0,0,0,0,0,0
16,126,83,29,15,11,9.5,9,8.5,7.5,6.5,6,6,6.5,8,10.5,13,16,20.5,26.5,33.5,40,46,51,54.5,56.5,57,56.5,55.5,55,55.5,57.5,59.5,60,60.5,62.5,66.5,72,78,84,90,97,105.5,115.5,127,140,153.5,167.5,183.5,201.5,221.5,243.5,267,293,322,353,385.5,420,457,499,549,607.5,672.5,741.5,815.5,896.5,983.5,1074,1169,1270.5,1382.5,1508.5,1647,1795,1953.5,2133,2346,2601.5,2907,3266.5,3682,4160,4709.5,5334.5,6035,6805.5,7642,8560,9590.5,10754.5,12042,13424,14883.5,16425.5,18066.5,19821.5,21697,23695.5,25803,27988,30204,32410,34609,36802.5,38968.5,41087,100000,0,0,0,0,0,0,0,0,0,0
17,123,81,28,14,10.5,9.5,8.5,8,7.5,6.5,6,6,6.5,8,10,12.5,16,20.5,26,32.5,39.5,45.5,50.5,54,56,56.5,55.5,54.5,54,55,57,58.5,59.5,60.5,62.5,66,71,77,83,89,95.5,104,114,125,138,151.5,165.5,181,198.5,218.5,240,263.5,289.5,318,348.5,380.5,414.5,451,492.5,542,599.5,663.5,732,805,885,971.5,1062,1156,1256.5,1367.5,1492,1629.5,1776.5,1933.5,2110.5,2319.5,2570,2869.5,3222.5,3632,4103,4644.5,5262,5955,6718.5,7549,8459.5,9479,10630,11906.5,13281,14735,16271,17904.5,19651,21518,23508.5,25609,27790,30006.5,32217,34420.5,36618,38789.5,40915,100000,0,0,0,0,0,0,0,0,0,0
18,120,79,27.5,14,10,9,8.5,8,7.5,6.5,6,6,6.5,8,10,12.5,15.5,19.5,25.5,32.5,39,45,50,53.5,55.5,56,55.5,54.5,54,54.5,56,58,59,59.5,61.5,65,70,76,82,87.5,94,102.5,112.5,124,136.5,149.5,163.5,179,196,215.5,237,260,285.5,313.5,344,376,409.5,446,487,535,591.5,655,723,795.5,874.5,960,1049.5,1143,1243,1353,1476,1612,1758,1914,2088.5,2294,2540,2833.5,3180.5,3584,4048.5,4582.5,5191.5,5876.5,6633.5,7458,8361.5,9371,10509.5,11774.5,13140.5,14588.5,16119,17746,19484.5,21342.5,23324,25417.5,27595,29812.5,32027.5,34235,36436,38613,40745.5,100000,0,0,0,0,0,0,0,0,0,0
19,199,113,23,16.5,12,9,8,8,8,8,7.5,7.5,8,9,11,13.5,17.5,23,28.5,34,40,45,48,48.5,47,44.5,43,44,46.5,50,53.5,56,57.5,59,61,64,67.5,72,78.5,85.5,92,98,105,113.5,124,137.5,153,170.5,190,210.5,232,256,283.5,312.5,343,377,414.5,456,504,557.5,614.5,676.5,743,814.5,894,983,1084,1198.5,1327,1470.5,1620,1769,1927,2107,2318,2558,2818.5,3091,3395.5,3773,4238.5,4782.5,5391.5,6065,6824.5,7704.5,8724,9883,11166,12528,13879,15305,16910,18657.5,20556,22613,24835.5,27230,29800.5,32549.5,35477,38580.5,41853.5,45284.5,48859,100000,0,0,0,0,0,0,0,0,0,0
20,184,104,20.5,14,9.5,7,6,5.5,5,5,5.5,6.5,8,10,12.5,16,20,25,30.5,35.5,41,46.5,50.5,52,51.5,50,49,49,49,49.5,51,53.5,57.5,62,66,69,70.5,72,75,80.5,88.5,97.5,107,117.5,129,142,156.5,171.5,188.5,208.5,231,256,282,309.5,340,374,412,452.5,495,541.5,595,657.5,728,803,881.5,966,1062.5,1178,1309.5,1448,1598,1760.5,1927.5,2108.5,2314,2547.5,2809,3098.5,3411.5,3755.5,4161.5,4646,5214,5873,6629,7484.5,8451,9541.5,10749.5,12057.5,13463,14995.5,16692.5,18576,20596,22643.5,24594.5,26478.5,28396,30346,32326.5,34335,36370,38428.5,40507.5,43658,45777,47905,50039,52176,54310,56438,58556,60658,0,0
21,182,102.5,19.5,13.5,10,8.5,8,7.5,7,6.5,6,6.5,7.5,9,11.5,15,19,23.5,29,34.5,39.5,44,47.5,49.5,50,49.5,49,49.5,50.5,51.5,52,52.5,55,59,63,66.5,69.5,73,77.5,83,89,95.5,102.5,110.5,121,134.5,150.5,168,186.5,206.5,229.5,256,284.5,315,348,382,417.5,456,498,545,598.5,658,723.5,795.5,874,962,1061.5,1173,1297.5,1437,1596.5,1775.5,1961,2144,2335,2552.5,2810.5,3115.5,3466,3850.5,4275.5,4766,5337,6000,6759.5,7619.5,8589,9690,10931,12277,13684.5,15284,17071,18935,20922,23035.5,25277.5,27649.5,30152.5,32786.5,35548,38432,41432.5,44540.5,47745,100000,0,0,0,0,0,0,0,0,0,0
22,140,79.5,15.5,10.5,8,7,6.5,5.5,5,4.5,4,4.5,5.5,7,9,13,17,22,26.5,30.5,36.5,39.5,43.5,46.5,45.5,44.5,44,42.5,45,46.5,47.5,49,49.5,54,58,63.5,64,67,73,76.5,84.5,91.5,97,105,116,122.5,136,153.5,167.5,187.5,205,226.5,256.5,283.5,304,346.5,376,398,442,485.5,542.5,603.5,666.5,734,805,890,985,1091.5,1217,1344,1515.5,1715.5,1886,2083,2225,2397.5,2624,2904,3274,3626.5,4077.5,4547.5,5033.5,5697,6420,7198.5,8182.5,9210.5,10458.5,11823.5,13266.5,14828,16385.5,18139.5,20331.5,22387.5,24233.5,26421,28683.5,30991.5,33313.5,35630,37925.5,40178,42368,100000,0,0,0,0,0,0,0,0,0,0
23,107,70,23.5,11.5,8,6.5,6,5.5,5,5,5,5.5,6.5,8,10,12.5,15.5,19,23,28,34,39,42.5,44,44,43.5,43,43,44,46,48,50,52,54,56.5,59,61.5,64.5,68,73,79,85.5,93,101,110.5,121.5,134,149,165.5,183.5,203.5,225,248,273,300.5,330.5,363.5,400,440,484,532.5,586.5,646,712,785,865.5,955,1054.5,1164.5,1284.5,1414,1552,1700.5,1863.5,2046,2253,2486.5,2748,3040,3370,3754.5,4210.5,4747,5367,6074.5,6880.5,7801.5,8849.5,10028.5,11333.5,12750,14264,15868.5,17572.5,19398.5,21366.5,23476,25697,27987,30311,32649,34990,37316.5,39605.5,41835,100000,0,0,0,0,0,0,0,0,0,0
24,104,68,23,11,7.5,6.5,5.5,5,5,5,5,5.5,6.5,8,10,12,15,18.5,22.5,27.5,33,38.5,42,43.5,43.5,42.5,42,42.5,43.5,45,47,49,51,53.5,56,58,60.5,63.5,67,72,78,84.5,91.5,99.5,109,120,132.5,147,163.5,181,200.5,222,244.5,269,296,326,359,394.5,433.5,477,525.5,578.5,637,702.5,774.5,854,942.5,1041,1149.5,1268,1396.5,1533.5,1681,1842.5,2022.5,2226.5,2457.5,2716,3004.5,3330.5,3709,4157.5,4685.5,5297,5996.5,6793.5,7703,8739,9907,11201.5,12609.5,14117,15716,17414,19232.5,21191.5,23292,25507.5,27796.5,30122.5,32464,34809.5,37142,39438,41676,100000,0,0,0,0,0,0,0,0,0,0
