,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
19,199,113,23,16.5,12,9,8,8,8,8,7.5,7.5,8,9,11,13.5,17.5,23,28.5,34,40,45,48,48.5,47,44.5,43,44,46.5,50,53.5,56,57.5,59,61,64,67.5,72,78.5,85.5,92,98,105,113.5,124,137.5,153,170.5,190,210.5,232,256,283.5,312.5,343,377,414.5,456,504,557.5,614.5,676.5,743,814.5,894,983,1084,1198.5,1327,1470.5,1620,1769,1927,2107,2318,2558,2818.5,3091,3395.5,3773,4238.5,4782.5,5391.5,6065,6824.5,7704.5,8724,9883,11166,12528,13879,15305,16910,18657.5,20556,22613,24835.5,27230,29800.5,32549.5,35477,38580.5,41853.5,45284.5,48859,100000,0,0,0,0,0,0,0,0,0,0
20,184,104,20.5,14,9.5,7,6,5.5,5,5,5.5,6.5,8,10,12.5,16,20,25,30.5,35.5,41,46.5,50.5,52,51.5,50,49,49,49,49.5,51,53.5,57.5,62,66,69,70.5,72,75,80.5,88.5,97.5,107,117.5,129,142,156.5,171.5,188.5,208.5,231,256,282,309.5,340,374,412,452.5,495,541.5,595,657.5,728,803,881.5,966,1062.5,1178,1309.5,1448,1598,1760.5,1927.5,2108.5,2314,2547.5,2809,3098.5,3411.5,3755.5,4161.5,4646,5214,5873,6629,7484.5,8451,9541.5,10749.5,12057.5,13463,14995.5,16692.5,18576,20596,22643.5,24594.5,26478.5,28396,30346,32326.5,34335,36370,38428.5,40507.5,100000,0,0,0,0,0,0,0,0,0,0
21,182,102.5,19.5,13.5,10,8.5,8,7.5,7,6.5,6,6.5,7.5,9,11.5,15,19,23.5,29,34.5,39.5,44,47.5,49.5,50,49.5,49,49.5,50.5,51.5,52,52.5,55,59,63,66.5,69.5,73,77.5,83,89,95.5,102.5,110.5,121,134.5,150.5,168,186.5,206.5,229.5,256,284.5,315,348,382,417.5,456,498,545,598.5,658,723.5,795.5,874,962,1061.5,1173,1297.5,1437,1596.5,1775.5,1961,2144,2335,2552.5,2810.5,3115.5,3466,3850.5,4275.5,4766,5337,6000,6759.5,7619.5,8589,9690,10931,12277,13684.5,15284,17071,18935,20922,23035.5,25277.5,27649.5,30152.5,32786.5,35548,38432,41432.5,44540.5,47745,100000,0,0,0,0,0,0,0,0,0,0
22,200,113.5,22,15,12,10.5,9.5,8.5,8,7,5.5,6,7.5,9,11,16,22,29.5,35.5,39.5,45.5,47.5,51.5,55,53,52,52,50.5,53.5,55,55.5,56.5,57.5,63.5,68.5,75.5,76.5,80.5,88.5,93.5,104,113,120,130,144,153,169.5,190,206.5,231,252,277.5,314,347,371.5,422.5,457,483,536.5,589,657.5,730.5,806.5,887.5,972.5,1075,1188.5,1313,1457,1598,1790,2018.5,2217.5,2454.5,2628,2833.5,3099,3428,3874.5,4319.5,4891,5475.5,6061.5,6848,7702,8620.5,9770.5,10943.5,12331,13809.5,15335.5,16976.5,18611.5,20479.5,22834,25008,26889,29083,31313.5,33571.5,35833.5,38071,40265,42398,44454,100000,0,0,0,0,0,0,0,0,0,0
23,152,100,34.5,17,11.5,9.5,8.5,8,8,7.5,7,7.5,8.5,10,12.5,16,20,25,31,37,42.5,47,50.5,52,51.5,51,50.5,50.5,52,54,56,58,60.5,63.5,67,70.5,74,78,83,89.5,97,105.5,115,125.5,137.5,151.5,167.5,185.5,205.5,227,250.5,276,303.5,333.5,366.5,403,442.5,486,534.5,587.5,646,711,782.5,861.5,949,1046,1153.5,1271,1396.5,1530,1673,1828.5,2002,2198,2419,2666,2940,3247,3600.5,4016.5,4506.5,5075,5724,6461,7299.5,8253,9330.5,10532.5,11849,13266,14771.5,16363.5,18056,19871,21824,23907.5,26089.5,28330.5,30599,32879,35161.5,37429,39659,41832,43930.5,100000,0,0,0,0,0,0,0,0,0,0
24,149,98,33.5,16,11,9.5,8.5,8,7.5,7,7,7.5,8.5,10,12.5,15.5,19.5,24.5,30,36,42,47,50,51.5,51.5,50.5,50,50.5,51.5,53,55,57.5,60.5,63.5,66.5,69.5,73,77,82,88.5,96,104,113,123.5,135.5,149,164.5,182.5,202.5,224,247,272,299.5,329.5,362,398,437.5,480.5,528,580.5,638.5,702.5,773,851,937.5,1033.5,1139.5,1255.5,1380.5,1513.5,1655.5,1810,1981.5,2174.5,2392.5,2637,2909,3213,3561.5,3971,4453.5,5014.5,5656.5,6385.5,7214.5,8158.5,9226,10418,11726,13136,14636,16223.5,17910.5,19718,21663,23739.5,25917.5,28158,30428.5,32712,34998.5,37271,39508,41689,43796,100000,0,0,0,0,0,0,0,0,0,0
25,146,96,33,16,11,9.5,8.5,8,7.5,7,7,7.5,8.5,10,12.5,15.5,19.5,24.5,30,35.5,41,46,49.5,51,50.5,50,49.5,49.5,51,53,55,57,59.5,62.5,65.5,68.5,72,76,81,87.5,94.5,102.5,111.5,121.5,133.5,147,162.5,180,199.5,221,244,269,296,325.5,358,393.5,432,474.5,521.5,573,630,693.5,763.5,841,926.5,1021,1126,1241,1365,1497,1638,1791,1961,2152.5,2368,2609.5,2878.5,3179.5,3524,3927.5,4403,4956.5,5591,6312.5,7132.5,8066.5,9124,10306,11605.5,13008.5,14503,16086,17767.5,19568,21505,23575,25749,27988.5,30261,32548,34838.5,37116,39359,41547.5,43663.5,100000,0,0,0,0,0,0,0,0,0,0
26,142,93.5,32,15.5,11,9.5,8.5,7.5,7,7,7,7.5,8.5,10,12,15,19,23.5,29,35,40.5,45.5,49,50,50,49.5,49,49.5,50.5,52,54,56.5,59,61.5,64.5,68,71.5,75,80,86,93,101.5,110.5,120.5,132,145,160.5,178,197,218,241,265.5,292,321,353,388.5,426.5,468.5,515,566,623,685.5,754.5,831,915.5,1009.5,1113.5,1227,1349.5,1481,1621.5,1773.5,1941.5,2130.5,2343.5,2582.5,2849,3146.5,3486.5,3884.5,4353.5,4899.5,5526.5,6240.5,7052.5,7977,9024,10196.5,11487.5,12884,14373.5,15951.5,17627.5,19421.5,21351,23413.5,25583,27821.5,30095.5,32385.5,34680,36962.5,39212,41408,43532,100000,0,0,0,0,0,0,0,0,0,0
27,139,91.5,31.5,15,10,8.5,8,7.5,7,7,7,7,8,10,12,15,19,23.5,28.5,34,40,45,48.5,50,49.5,49,48.5,48.5,50,52,54,56,58.5,61.5,64.5,67.5,70.5,74,79,85,92,100,108.5,118.5,130,143,158,175,194.5,215.5,238,262.5,288.5,317,348.5,383.5,421.5,463,509,559.5,615.5,677.5,746,821.5,905,998,1100.5,1213,1335,1465.5,1605,1755.5,1922,2109,2320,2556.5,2820,3115,3451,3843.5,4305.5,4844.5,5464.5,6171,6974.5,7889.5,8927,10089.5,11372,12762,14246,15819,17490,19277.5,21199,23255,25420.5,27658,29933.5,32226,34524,36811.5,39067,41270,43402,100000,0,0,0,0,0,0,0,0,0,0
28,136,89.5,30.5,14.5,10,8.5,7.5,7,7,7,7,7,8,9.5,11.5,14.5,18,22.5,28,34,39.5,44.5,48,49.5,49.5,48.5,48,48.5,49.5,51,53,55.5,58,60.5,63.5,66.5,69.5,73,78,84,91,99,107.5,117,128,141,156,173,192,212.5,235,259,284.5,313,344.5,379,416.5,457.5,503,553,608.5,670,737.5,812,894.5,986.5,1088.5,1200,1320.5,1450,1588.5,1738.5,1903.5,2088,2296.5,2531,2792.5,3084.5,3416.5,3803.5,4259,4791,5404,6103,6898.5,7804.5,8832.5,9986,11259.5,12642,14121,15689.5,17355,19136.5,21051,23099.5,25260,27496,29773,32069,34370.5,36662,38923.5,41133.5,43273.5,100000,0,0,0,0,0,0,0,0,0,0
29,134,88,30,14.5,10,8.5,7.5,7,7,6.5,6.5,7,7.5,9,11.5,14.5,18,22.5,27.5,33,39,44,47.5,49,48.5,48,47.5,47.5,49,50.5,52.5,55,57.5,60,62.5,65.5,68.5,72,77,83,89.5,97.5,106.5,116,127,139.5,154,171,189.5,210,232.5,256,281.5,309.5,340.5,374.5,411.5,452.5,497.5,547,601.5,662,729,803,885,975.5,1076,1186.5,1306.5,1435.5,1573,1721.5,1885,2068,2274.5,2506.5,2765,3054,3383,3765,4214,4739.5,5345.5,6037,6824.5,7722,8740.5,9884,11149,12525,13998.5,15562.5,17223,18998,20905.5,22947.5,25103.5,27338,29616,31914,34219,36515.5,38782.5,40999.5,43147.5,100000,0,0,0,0,0,0,0,0,0,0
30,131,86,29,14,10,8.5,7.5,7,6.5,6,6,6.5,7.5,9,11.5,14.5,18,22.5,27.5,33,38.5,43.5,47,48.5,48.5,47.5,47,47.5,48.5,50,52,54,56.5,59.5,62.5,65.5,68.5,72,76.5,82,88.5,96,104.5,114,125,137.5,152,169,187.5,207.5,229.5,253,278,306,337,370.5,407,447,491.5,540.5,594.5,654.5,721,794.5,875.5,965,1064.5,1174,1293,1421,1557.5,1705,1867.5,2049,2253,2482,2738,3024.5,3350,3727.5,4170.5,4689,5288,5972.5,6752.5,7641.5,8650.5,9785,11042,12410.5,13878,15437.5,17093.5,18862.5,20763,22798.5,24949.5,27182,29460.5,31761,34069.5,36370,38643,40867,43022,100000,0,0,0,0,0,0,0,0,0,0
