îNóÓï èoê∂ó¶ÇÃå©í Çµ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125
15,0.00022,0.00018,0.00017,0.00039,0.00041,0.00040,0.00040,0.00041,0.00040,0.00041,0.00040,0.00041,0.00041,0.00041,0.00041,0.00041,0.00039,0.00041,0.00041,0.00040,0.00040,0.00040,0.00040,0.00040,0.00040,0.00040,0.00040,0.00040,0.00040,0.00040,0.00040,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041,0.00041
16,0.00055,0.00054,0.00052,0.00192,0.00199,0.00201,0.00200,0.00200,0.00201,0.00199,0.00202,0.00199,0.00201,0.00202,0.00201,0.00203,0.00205,0.00193,0.00201,0.00203,0.00199,0.00199,0.00200,0.00200,0.00200,0.00200,0.00200,0.00200,0.00200,0.00200,0.00200,0.00200,0.00200,0.00200,0.00200,0.00200,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201,0.00201
17,0.00172,0.00140,0.00138,0.00501,0.00520,0.00519,0.00525,0.00522,0.00522,0.00526,0.00520,0.00527,0.00519,0.00525,0.00528,0.00524,0.00529,0.00535,0.00506,0.00525,0.00531,0.00520,0.00522,0.00523,0.00522,0.00522,0.00522,0.00522,0.00523,0.00523,0.00523,0.00524,0.00524,0.00524,0.00525,0.00525,0.00525,0.00525,0.00525,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526
18,0.00324,0.00292,0.00279,0.00802,0.00880,0.00878,0.00875,0.00885,0.00880,0.00880,0.00887,0.00879,0.00890,0.00876,0.00886,0.00891,0.00885,0.00894,0.00904,0.00854,0.00887,0.00897,0.00880,0.00882,0.00884,0.00883,0.00883,0.00883,0.00883,0.00884,0.00884,0.00885,0.00886,0.00887,0.00887,0.00888,0.00888,0.00889,0.00889,0.00889,0.00890,0.00890,0.00890,0.00890,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891
19,0.00661,0.00638,0.00623,0.01333,0.01533,0.01584,0.01581,0.01576,0.01594,0.01585,0.01585,0.01598,0.01582,0.01603,0.01578,0.01595,0.01605,0.01594,0.01610,0.01628,0.01538,0.01597,0.01615,0.01583,0.01587,0.01591,0.01589,0.01588,0.01589,0.01589,0.01590,0.01591,0.01592,0.01594,0.01595,0.01596,0.01596,0.01597,0.01598,0.01598,0.01599,0.01599,0.01600,0.01600,0.01601,0.01601,0.01601,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602,0.01602
20,0.01098,0.01063,0.01029,0.01848,0.01951,0.02111,0.02148,0.02143,0.02137,0.02161,0.02149,0.02149,0.02166,0.02144,0.02173,0.02139,0.02163,0.02176,0.02161,0.02184,0.02209,0.02086,0.02166,0.02191,0.02148,0.02153,0.02159,0.02156,0.02155,0.02155,0.02156,0.02157,0.02158,0.02160,0.02162,0.02163,0.02165,0.02166,0.02167,0.02168,0.02169,0.02169,0.02170,0.02171,0.02171,0.02172,0.02173,0.02173,0.02173,0.02174,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173,0.02173
21,0.01639,0.01594,0.01536,0.02341,0.02519,0.02543,0.02695,0.02728,0.02722,0.02714,0.02745,0.02730,0.02730,0.02752,0.02725,0.02762,0.02718,0.02749,0.02766,0.02747,0.02777,0.02809,0.02653,0.02755,0.02787,0.02731,0.02738,0.02746,0.02743,0.02741,0.02741,0.02743,0.02744,0.02746,0.02749,0.02751,0.02752,0.02754,0.02756,0.02757,0.02759,0.02760,0.02761,0.02762,0.02763,0.02763,0.02764,0.02765,0.02766,0.02766,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767,0.02767
22,0.02160,0.02235,0.02150,0.02844,0.03009,0.03102,0.03097,0.03267,0.03296,0.03290,0.03279,0.03317,0.03299,0.03299,0.03326,0.03293,0.03338,0.03286,0.03323,0.03344,0.03322,0.03358,0.03397,0.03209,0.03332,0.03370,0.03304,0.03312,0.03321,0.03318,0.03315,0.03316,0.03318,0.03320,0.03322,0.03325,0.03328,0.03330,0.03333,0.03335,0.03337,0.03338,0.03340,0.03341,0.03342,0.03343,0.03344,0.03345,0.03346,0.03347,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348,0.03348
23,0.02884,0.03033,0.02946,0.03457,0.03633,0.03694,0.03782,0.03783,0.03972,0.03991,0.03983,0.03971,0.04017,0.03995,0.03996,0.04028,0.03989,0.04043,0.03980,0.04025,0.04050,0.04025,0.04068,0.04115,0.03887,0.04037,0.04083,0.04003,0.04013,0.04024,0.04019,0.04017,0.04018,0.04020,0.04023,0.04025,0.04029,0.04032,0.04035,0.04038,0.04041,0.04043,0.04045,0.04047,0.04048,0.04050,0.04051,0.04052,0.04054,0.04055,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056,0.04056
24,0.03703,0.04026,0.03879,0.04280,0.04478,0.04532,0.04591,0.04714,0.04714,0.04919,0.04926,0.04916,0.04901,0.04958,0.04931,0.04932,0.04971,0.04924,0.04991,0.04913,0.04969,0.05000,0.04969,0.05022,0.05081,0.04799,0.04984,0.05042,0.04942,0.04955,0.04968,0.04963,0.04960,0.04961,0.04964,0.04967,0.04970,0.04975,0.04979,0.04983,0.04986,0.04990,0.04993,0.04995,0.04997,0.04999,0.05001,0.05003,0.05005,0.05006,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008,0.05008
