種別,年齢,付加年金納付率
2,20,0.014945664826006
2,21,0.018835984347837
2,22,0.013253200229591
2,23,0.018161127105249
2,24,0.017883790273766
2,25,0.017253959217482
2,26,0.016595108196123
2,27,0.016276724838350
2,28,0.016635432556517
2,29,0.017916121423865
2,30,0.020082405230235
2,31,0.022806722794210
2,32,0.025660967832546
2,33,0.028309477571384
2,34,0.030682163689913
2,35,0.032966674855235
2,36,0.035482558498642
2,37,0.038327111108351
2,38,0.041202729394463
2,39,0.043888551427894
2,40,0.046499837654245
2,41,0.049033242979705
2,42,0.051316412962679
2,43,0.053256560895647
2,44,0.054427076881893
2,45,0.054811538085932
2,46,0.054534575047451
2,47,0.053933977015096
2,48,0.053254292799490
2,49,0.052747152857334
2,50,0.052667343926692
2,51,0.052635358171404
2,52,0.052575620838062
2,53,0.052287256053079
2,54,0.051893428376451
2,55,0.052072018401368
2,56,0.053689910666038
2,57,0.057226083298007
2,58,0.062559176116169
2,59,0.069083605628228
2,60,0.109043563174741
2,61,0.653984943301309
2,62,0.667049590446973
2,63,0.680045366386968
2,64,0.693895003870042
2,65,0.673940261133965
2,66,0.000000000000000
2,67,0.000000000000000
2,68,0.000000000000000
2,69,0.000000000000000
2,70,0.000000000000000
5,20,0.014385408889363
5,21,0.018225448742270
5,22,0.013176649186640
5,23,0.015147061681985
5,24,0.015108423917344
5,25,0.014637788217329
5,26,0.014065839072676
5,27,0.014128072909154
5,28,0.014916336639573
5,29,0.016456150925319
5,30,0.018171537234528
5,31,0.020284582262192
5,32,0.022910570873068
5,33,0.026151425295622
5,34,0.029314170977649
5,35,0.031717817458156
5,36,0.033434205338640
5,37,0.035592173401295
5,38,0.038589574412849
5,39,0.042252121186825
5,40,0.045699035452432
5,41,0.048481727173518
5,42,0.050489404299456
5,43,0.052219931939216
5,44,0.053865062572091
5,45,0.055325602725606
5,46,0.056400853618420
5,47,0.057359325973576
5,48,0.058012752956488
5,49,0.058220206916460
5,50,0.058535963522872
5,51,0.059547508191507
5,52,0.061348458979263
5,53,0.063772946467261
5,54,0.067081377574258
5,55,0.071257004463422
5,56,0.077211721701470
5,57,0.085992879236793
5,58,0.097598862095922
5,59,0.111194005519239
5,60,0.168903102885139
5,61,0.768395122012801
5,62,0.781652916556474
5,63,0.795235921152064
5,64,0.809115541751625
5,65,0.804842702735342
5,66,0.000000000000000
5,67,0.000000000000000
5,68,0.000000000000000
5,69,0.000000000000000
5,70,0.000000000000000
