”N“x,”[•t—¦
2020,0.807
2021,0.830
2022,0.834
2023,0.838
2024,0.842
2025,0.846
2026,0.850
2027,0.850
2028,0.850
2029,0.850
2030,0.850
2031,0.850
2032,0.850
2033,0.850
2034,0.850
2035,0.850
2036,0.850
2037,0.850
2038,0.850
2039,0.850
2040,0.850
2041,0.850
2042,0.850
2043,0.850
2044,0.850
2045,0.850
2046,0.850
2047,0.850
2048,0.850
2049,0.850
2050,0.850
2051,0.850
2052,0.850
2053,0.850
2054,0.850
2055,0.850
2056,0.850
2057,0.850
2058,0.850
2059,0.850
2060,0.850
2061,0.850
2062,0.850
2063,0.850
2064,0.850
2065,0.850
2066,0.850
2067,0.850
2068,0.850
2069,0.850
2070,0.850
2071,0.850
2072,0.850
2073,0.850
2074,0.850
2075,0.850
2076,0.850
2077,0.850
2078,0.850
2079,0.850
2080,0.850
2081,0.850
2082,0.850
2083,0.850
2084,0.850
2085,0.850
2086,0.850
2087,0.850
2088,0.850
2089,0.850
2090,0.850
2091,0.850
2092,0.850
2093,0.850
2094,0.850
2095,0.850
2096,0.850
2097,0.850
2098,0.850
2099,0.850
2100,0.850
2101,0.850
2102,0.850
2103,0.850
2104,0.850
2105,0.850
2106,0.850
2107,0.850
2108,0.850
2109,0.850
2110,0.850
2111,0.850
2112,0.850
2113,0.850
2114,0.850
2115,0.850
2116,0.850
2117,0.850
2118,0.850
2119,0.850
2120,0.850
2121,0.850
2122,0.850
2123,0.850
2124,0.850
2125,0.850
