�Z����㍤,怄���,�X�㍤,合䦈,15㫳,16㫳,17㫳,18㫳,19㫳,20㫳,21㫳,22㫳,23㫳,24㫳,25㫳,26㫳,27㫳,28㫳,29㫳,30㫳,31㫳,32㫳,33㫳,34㫳,35㫳,36㫳,37㫳,38㫳,39㫳,40㫳,41㫳,42㫳,43㫳,44㫳,45㫳,46㫳,47㫳,48㫳,49㫳,50㫳,51㫳,52㫳,53㫳,54㫳,55㫳,56㫳,57㫳,58㫳,59㫳,60㫳,61㫳,62㫳,63㫳,64㫳,65㫳,66㫳,67㫳,68㫳,69㫳,70㫳,71㫳,72㫳,73㫳,74㫳,75㫳,76㫳,77㫳,78㫳,79㫳,80㫳,81㫳,82㫳,83㫳,84㫳,85㫳,86㫳,87㫳,88㫳,89㫳,90㫳,91㫳,92㫳,93㫳,94㫳,95㫳,96㫳,97㫳,98㫳,99㫳,100㫳
1,1,2020,782873,1,323,319,3921,7553,8613,9335,9562,12361,13140,13130,13632,12459,13280,13552,14128,14648,16173,16940,17183,17572,17580,17672,17669,18208,18511,19751,20810,21854,22399,23722,27154,27849,27309,25705,24436,24134,24520,23430,20305,17216,18084,17818,17072,15992,14454,8453,7360,6028,4374,3607,528,443,372,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2021,778043,0,315,348,4806,7222,8626,9440,9687,12413,12857,13473,13278,13762,12824,13577,13842,14325,14773,16346,17050,17258,17684,17707,17743,17742,18255,18499,19759,20770,21829,22314,23613,27017,27657,27134,25521,24220,23907,24022,23067,16435,16742,17670,17383,16519,15038,8850,7873,6495,4903,3762,554,471,367,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2022,767288,0,321,317,4052,6481,8072,9124,9462,12311,12954,13123,13482,13345,13975,13013,13754,13997,14495,14835,16471,17178,17343,17810,17735,17768,17772,18271,18531,19722,20723,21740,22179,23476,26890,27449,26877,25210,23930,23666,23568,18462,15572,16197,17180,16795,15577,9164,8356,7244,5335,4240,564,488,401,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2023,759361,0,267,339,3954,6326,7255,8519,9234,11919,12679,13203,13240,13544,13597,14183,13276,13971,14181,14655,14982,16557,17243,17407,17838,17743,17787,17767,18242,18519,19690,20662,21662,22085,23342,26702,27232,26626,24967,23683,23294,20992,17964,15226,15811,16635,15801,9695,8582,7374,6363,4499,948,434,369,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2024,751553,0,273,287,4044,6294,7145,7811,8728,11774,12338,12962,13330,13327,13802,13837,14409,13527,14169,14365,14821,15130,16653,17323,17455,17851,17772,17789,17754,18241,18512,19650,20604,21577,21974,23206,26486,26967,26365,24708,23314,22812,18567,17548,14869,15319,15655,9835,9068,7572,6479,4921,1005,729,328,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2025,742982,0,284,292,4149,6492,7179,7765,8157,11457,12255,12684,13136,13442,13632,14071,14115,14647,13776,14385,14571,15001,15295,16774,17395,17500,17896,17789,17790,17775,18253,18503,19616,20545,21482,21861,23045,26250,26710,26088,24323,22838,18353,18141,17129,14418,14430,9756,9207,7999,6655,5009,1100,774,551,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2026,734839,0,281,304,4105,6544,7336,7780,8103,10895,11943,12593,12861,13247,13731,13896,14326,14354,14840,13997,14580,14750,15163,15448,16856,17435,17548,17906,17786,17807,17792,18243,18484,19569,20458,21374,21719,22855,25996,26425,25674,23816,18371,17929,17700,16589,13587,9009,9131,8118,7015,5613,1118,847,585,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2027,726681,0,286,302,4183,6557,7409,7943,8137,10906,11443,12316,12789,12996,13559,14005,14173,14572,14573,15033,14217,14770,14930,15330,15577,16919,17492,17574,17907,17809,17827,17795,18231,18453,19499,20367,21240,21551,22656,25728,25995,25134,19154,17949,17497,17143,15616,8503,8459,8055,7120,5916,1151,862,641,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2028,718354,0,293,307,4285,6708,7463,8047,8317,11034,11490,11877,12548,12946,13345,13865,14302,14450,14802,14798,15239,14437,14968,15120,15476,15686,17000,17530,17589,17936,17839,17837,17795,18211,18403,19426,20251,21084,21373,22439,25325,25463,20210,18713,17520,16951,16137,9741,8006,7474,7073,6003,1212,885,652,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2029,710097,0,297,314,4328,6826,7612,8108,8420,11231,11622,11930,12136,12725,13307,13669,14179,14579,14692,15026,15017,15431,14651,15164,15278,15593,15803,17052,17550,17627,17967,17851,17840,17782,18167,18348,19325,20112,20914,21176,22106,24811,20472,19739,18260,16972,15957,10060,9133,7081,6583,5964,1230,932,668,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
