�Z����㍤,怄���,�X�㍤,合䦈,15㫳,16㫳,17㫳,18㫳,19㫳,20㫳,21㫳,22㫳,23㫳,24㫳,25㫳,26㫳,27㫳,28㫳,29㫳,30㫳,31㫳,32㫳,33㫳,34㫳,35㫳,36㫳,37㫳,38㫳,39㫳,40㫳,41㫳,42㫳,43㫳,44㫳,45㫳,46㫳,47㫳,48㫳,49㫳,50㫳,51㫳,52㫳,53㫳,54㫳,55㫳,56㫳,57㫳,58㫳,59㫳,60㫳,61㫳,62㫳,63㫳,64㫳,65㫳,66㫳,67㫳,68㫳,69㫳,70㫳,71㫳,72㫳,73㫳,74㫳,75㫳,76㫳,77㫳,78㫳,79㫳,80㫳,81㫳,82㫳,83㫳,84㫳,85㫳,86㫳,87㫳,88㫳,89㫳,90㫳,91㫳,92㫳,93㫳,94㫳,95㫳,96㫳,97㫳,98㫳,99㫳,100㫳
2,1,2020,1740023,0,0,1,0,4075,5446,7347,8560,26554,31505,34636,38698,39110,40738,42528,42301,44345,46895,46914,43738,42511,41474,40196,38976,38541,39124,39803,40787,41062,41113,43251,47024,48543,49148,48009,46632,44776,45634,46552,40786,47190,49984,49521,50223,50412,49885,21707,18858,14353,8400,6502,2264,1544,1063,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2021,1736167,0,0,2,2,3874,5335,7238,8354,27224,30786,34627,36765,40237,40334,41777,43304,42819,44788,47274,47177,44015,42702,41591,40355,39107,38683,39195,39819,40810,41065,41139,43256,46941,48449,49047,47889,46438,44563,45395,46262,40496,46749,49442,48886,49140,48451,22864,20097,16848,9618,7535,2703,2132,1528,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2022,1685592,0,0,0,0,3479,4998,6950,8167,23633,28495,31090,34076,35835,39278,39464,40832,42450,41901,44005,46474,46528,43390,42110,41072,39905,38600,38286,38744,39393,40424,40717,40777,42863,46489,47966,48557,47312,45839,44014,44782,45585,39855,45906,48260,47405,46756,22202,20078,17374,10572,7830,1495,1375,1173,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2023,1671534,0,0,0,0,3846,4884,6707,7818,22957,28070,32122,33527,35978,37582,40441,40375,41503,42890,42277,44224,46626,46455,43262,41958,40957,39799,38526,38142,38564,39183,40166,40446,40505,42519,46053,47463,48018,46725,45191,43374,44090,44827,39113,44819,46881,45315,21786,19760,17082,14353,8647,2857,1055,993,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2024,1656734,0,0,0,0,3965,5284,6656,7619,23089,27584,31856,34632,35543,37813,38881,41388,41119,42020,43286,42578,44465,46580,46288,43109,41847,40851,39723,38393,37984,38378,38954,39913,40188,40202,42146,45584,46947,47424,46066,44535,42715,43368,43976,38210,43551,44820,21130,19412,16825,14124,9081,3155,2015,762,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2025,1642284,0,0,0,0,3957,5396,7037,7567,22863,27699,31377,34367,36604,37386,39099,39874,42097,41643,42435,43560,42855,44466,46408,46073,42975,41724,40757,39569,38230,37806,38160,38718,39662,39889,39862,41734,45096,46370,46753,45393,43853,42021,42551,42943,37149,41648,20901,18840,16534,13914,8936,3314,2226,1455,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2026,1629344,0,0,0,0,3762,5310,7048,7877,22051,27213,31254,33728,36193,38260,38560,39973,40533,42512,41994,42664,43752,42842,44298,46156,45851,42802,41586,40563,39367,38029,37579,37920,38469,39357,39542,39473,41295,44541,45710,46061,44686,43126,41225,41549,41728,35541,19428,18619,16041,13665,11381,3261,2338,1607,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2027,1616669,0,0,0,0,3738,5113,6954,7880,22253,26397,30755,33586,35556,37844,39387,39438,40617,40981,42832,42226,42869,43714,42704,44084,45929,45624,42643,41376,40342,39146,37797,37345,37680,38179,39017,39157,39067,40799,43911,45035,45339,43941,42304,40259,40377,39902,16612,17334,15854,13263,11178,3212,2300,1688,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2028,1603770,0,0,0,0,3802,5115,6796,7808,22509,26681,30046,33164,35470,37279,39027,40275,40130,41090,41365,43064,42462,42867,43570,42533,43906,45710,45427,42424,41150,40113,38903,37565,37119,37406,37859,38642,38759,38610,40236,43272,44337,44584,43104,41311,39129,38618,18626,14893,14784,13116,10849,3155,2266,1661,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2029,1591347,0,0,0,0,3742,5153,6768,7639,22203,26844,30247,32424,35014,37150,38443,39893,40911,40591,41448,41613,43262,42453,42729,43371,42374,43714,45504,45157,42175,40903,39850,38650,37330,36849,37093,37498,38249,38305,38082,39660,42604,43599,43729,42087,40146,37426,18030,16637,12738,12243,10728,3062,2226,1636,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2030,1579297,0,0,0,0,3687,5073,6778,7596,21823,26473,30338,32568,34256,36666,38282,39295,40513,41327,40941,41675,41826,43221,42312,42536,43187,42200,43532,45225,44859,41906,40623,39579,38395,37053,36540,36741,37120,37801,37780,37543,39060,41900,42764,42694,40896,38393,17477,16112,14192,10577,10014,3028,2160,1607,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2031,1567309,0,0,0,0,3662,5010,6688,7598,21684,26073,29950,32632,34375,35915,37799,39125,39922,40930,41649,41172,41879,41811,43060,42124,42363,42995,42039,43281,44924,44547,41610,40338,39309,38101,36741,36195,36373,36688,37283,37246,36983,38427,41103,41754,41483,39107,17921,15629,13752,11757,8652,2827,2136,1560,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2032,1555719,0,0,0,0,3633,4974,6613,7503,21573,25899,29529,32232,34414,36007,37054,38642,39743,40343,41251,41853,41378,41856,41673,42851,41954,42181,42817,41809,43007,44608,44209,41308,40055,39000,37772,36391,35834,35952,36189,36757,36689,36392,37708,40135,40571,39665,18248,16012,13345,11398,9617,2442,1994,1543,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2033,1543826,0,0,0,0,3638,4949,6582,7433,21502,25799,29368,31830,34031,36050,37147,37925,39276,40171,40680,41467,42046,41368,41718,41493,42669,41780,42018,42575,41558,42721,44269,43869,41011,39736,38658,37407,36027,35422,35465,35683,36210,36105,35719,36831,39004,38797,18506,16297,13666,11068,9323,2714,1723,1440,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2034,1531959,0,0,0,0,3581,4931,6529,7385,21209,25652,29202,31622,33598,35635,37150,37981,38552,39693,40491,40891,41649,42006,41229,41527,41326,42473,41614,41782,42306,41288,42405,43924,43531,40675,39381,38278,37025,35609,34942,34970,35154,35633,35437,34893,35801,37301,18102,16514,13900,11325,9053,2631,1915,1244,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2035,1520171,0,0,0,0,3503,4845,6473,7312,20859,25263,28967,31392,33335,35157,36700,37940,38569,38957,39997,40681,41063,41599,41838,41033,41346,41142,42285,41375,41517,42017,40987,42081,43578,43153,40301,38985,37878,36588,35124,34453,34451,34594,34972,34615,33921,34247,17408,16154,14076,11510,9263,2555,1856,1383,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2036,1508708,0,0,0,0,3405,4731,6342,7229,20402,24790,28472,31075,33034,34827,36173,37448,38480,38931,39242,40165,40826,41001,41420,41613,40845,41147,40962,42023,41106,41230,41696,40675,41754,43193,42739,39887,38569,37422,36082,34627,33940,33902,33953,34160,33648,32452,15995,15539,13767,11646,9414,2614,1803,1340,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
