年齢区分,20~30h 男１号,20~30h 男３号,20~30h 男非加入,20~30h 女１号,20~30h 女３号,20~30h 女非加入,30h~ 男１号,30h~ 男３号,30h~ 男非加入,30h~ 女１号,30h~ 女３号,30h~ 女非加入,~20h 男１号,~20h 男３号,~20h 男非加入,~20h 女１号,~20h 女３号,~20h 女非加入
1,0.000000,0.000000,2426.713361,0.000000,0.000000,785.080134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1481.121241,13.637541,0.000000,5296.139726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,3587.680602,102.714657,0.000000,7567.746183,1894.411096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,4391.162475,220.819389,0.000000,3255.014495,8050.840112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,4298.706492,283.991219,0.000000,2279.167317,10399.335811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,2785.777636,341.119826,0.000000,3832.298162,13311.048293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,4083.205662,409.589549,0.000000,6977.133911,16779.020439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,5290.875036,524.249644,0.000000,10222.042171,14529.058655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,6071.060486,612.299412,0.000000,4672.936393,10856.380490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,370.451105,0.000000,6056.267184,676.804132,0.000000,15770.635196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,2.100721,0.000000,6674.415841,1.414500,0.000000,12815.533707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
