îNóÓãÊï™,20~30h íjÇPçÜ,20~30h íjÇRçÜ,20~30h íjîÒâ¡ì¸,20~30h èóÇPçÜ,20~30h èóÇRçÜ,20~30h èóîÒâ¡ì¸,30h~ íjÇPçÜ,30h~ íjÇRçÜ,30h~ íjîÒâ¡ì¸,30h~ èóÇPçÜ,30h~ èóÇRçÜ,30h~ èóîÒâ¡ì¸,~20h íjÇPçÜ,~20h íjÇRçÜ,~20h íjîÒâ¡ì¸,~20h èóÇPçÜ,~20h èóÇRçÜ,~20h èóîÒâ¡ì¸
1,0.000000,0.000000,30506.667896,0.000000,0.000000,53627.816124,0.000000,0.000000,28765.230737,0.000000,0.000000,34710.754238,0.000000,0.000000,136554.824164,0.000000,0.000000,206152.441363
2,76755.814997,121.200227,0.000000,123824.770614,3853.365856,0.000000,199159.782263,0.000000,0.000000,210924.100100,0.000000,0.000000,264955.826689,41.738749,0.000000,266316.507106,10017.838033,0.000000
3,47875.101951,912.850751,0.000000,86646.720546,38090.566510,0.000000,131560.806645,0.000000,0.000000,66217.403226,0.000000,0.000000,36240.149240,314.366147,0.000000,43947.975851,59128.244830,0.000000
4,44059.463145,1962.476944,0.000000,41255.977780,119858.890640,0.000000,38863.229829,0.000000,0.000000,0.000000,0.000000,0.000000,31704.157300,675.834812,0.000000,45266.028234,114033.585547,0.000000
5,40176.742392,2523.900744,0.000000,37535.629011,187446.730076,0.000000,77244.813701,0.000000,0.000000,0.000000,0.000000,0.000000,40163.183578,869.177082,0.000000,45386.793223,206679.512406,0.000000
6,29384.126415,3031.616910,0.000000,55844.679670,217665.302944,0.000000,118513.240899,0.000000,0.000000,42869.773316,0.000000,0.000000,23037.944625,1044.023600,0.000000,52477.565100,294233.359010,0.000000
7,41219.856133,3640.124402,0.000000,98232.009220,249953.018988,0.000000,204080.557132,0.000000,0.000000,80022.791192,0.000000,0.000000,32130.546862,1253.580481,0.000000,51036.381351,380009.632408,0.000000
8,43857.940333,4659.137244,0.000000,96363.609792,245793.546484,0.000000,150171.844898,0.000000,0.000000,83401.940085,0.000000,0.000000,32130.546862,1604.506566,0.000000,99445.340944,359712.369364,0.000000
9,44130.463692,5441.657470,0.000000,115817.223595,152937.237713,0.000000,116536.557535,0.000000,0.000000,58943.134352,0.000000,0.000000,38016.540800,1873.989686,0.000000,117242.405238,266950.780938,0.000000
10,5528.919268,0.000000,51472.573380,7444.651885,0.000000,238237.529092,5466.615550,0.000000,64615.053938,4782.650539,0.000000,52414.277636,4460.762976,0.000000,51767.694033,11061.638783,0.000000,326278.719811
11,23.080504,0.000000,72444.017981,18.484664,0.000000,179824.506017,0.000000,0.000000,0.000000,7.436634,0.000000,30728.005554,4.542202,0.000000,136550.281962,85.263423,0.000000,309143.398622
