年齢区分,20~30h 男１号,20~30h 男３号,20~30h 男非加入,20~30h 女１号,20~30h 女３号,20~30h 女非加入,30h~ 男１号,30h~ 男３号,30h~ 男非加入,30h~ 女１号,30h~ 女３号,30h~ 女非加入,~20h 男１号,~20h 男３号,~20h 男非加入,~20h 女１号,~20h 女３号,~20h 女非加入
1,0.000000,0.000000,3028.110334,0.000000,0.000000,14281.722372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,10420.462269,28.674521,0.000000,16796.169655,2302.394264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,12100.237893,215.969549,0.000000,23066.005327,14466.211346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,10587.282227,464.298529,0.000000,14209.965879,36281.557084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,7834.851907,597.124673,0.000000,15117.112189,67993.968068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,8172.315948,717.244234,0.000000,19428.031345,83001.013815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,11531.932148,861.209815,0.000000,26947.163042,89983.151551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,9234.552992,1102.296042,0.000000,16323.435908,93233.071594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,6894.915254,1287.430951,0.000000,52563.655998,53616.619830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,1873.826919,0.000000,10264.614452,2036.307803,0.000000,82709.614453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,5.736036,0.000000,19657.982307,6.507568,0.000000,58755.251909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
