èîê›íËíl,,,,,,,,,,,,,,,,,,,,,,
îN,ÉPÅ[ÉX,íZéûä‘îÒê≥ãKåŸópäÑçá,ïΩãœòJì≠éûä‘Åiê≥ãKÅj,ïΩãœòJì≠éûä‘ÅiÉtÉãîÒê≥ãKÅj,ïΩãœòJì≠éûä‘ÅiîÒê≥ãK20ñ¢ñûÅj,ïΩãœòJì≠éûä‘ÅiîÒê≥ãK20Å`24Åj,ïΩãœòJì≠éûä‘ÅiîÒê≥ãK25Å`29Åj,ïΩãœòJì≠éûä‘ÅiîÒê≥ãK30Å`34Åj,ïΩãœòJì≠éûä‘Åi©âcÅj,ïΩãœòJì≠éûä‘ÅiíZîÌÅj,ïΩãœòJì≠éûä‘ÅiíZåŸÅj,15éûä‘ñ¢ñû,15Å`19éûä‘,20Å`24éûä‘,25Å`29éûä‘,30Å`34éûä‘,å˙îNìKópó¶Åiê≥ãKÅj,å˙îNìKópó¶ÅiÉtÉãîÒê≥ãKÅj,å˙îNìKópó¶ÅiÅ`20éûä‘Åj,å˙îNìKópó¶Åi20Å`24éûä‘Åj,å˙îNìKópó¶Åi25Å`29éûä‘Åj,å˙îNìKópó¶Åi30Å`34éûä‘Åj
2020,2,0.23200000000000000000000000,174.47401415692500000000000000,167.40692151794700000000000000,52.74284868931870000000000000,89.54080840457010000000000000,107.46529330424700000000000000,129.62286528607000000000000000,140.41616646453900000000000000,103.82604609663500000000000000,80.94443878200170000000000000,0.28754716981132100000000000,0.18792452830188700000000000,0.23698113207547200000000000,0.11849056603773600000000000,0.16905660377358500000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2021,2,0.23200000000000000000000000,175.34828792996100000000000000,167.49684976006900000000000000,52.83620987525170000000000000,90.22354218937160000000000000,108.42445767197600000000000000,130.10944184567600000000000000,140.72114299305100000000000000,104.38204725692000000000000000,81.08456559976710000000000000,0.29126213592233000000000000,0.19118745332337600000000000,0.23151605675877500000000000,0.11575802837938800000000000,0.17027632561613100000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2022,2,0.23200000000000000000000000,175.36415541373800000000000000,167.74393293619900000000000000,53.07052377713670000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,104.21794492549600000000000000,81.02807160937230000000000000,0.28834808259587000000000000,0.19247787610619500000000000,0.23156342182890900000000000,0.11578171091445400000000000,0.17182890855457200000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2023,2,0.23400327395300600000000000,175.15166563794100000000000000,167.74393293619900000000000000,53.12284989391590000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,105.35419573437500000000000000,82.14190397575820000000000000,0.27961209828416300000000000,0.18810988395034100000000000,0.22719542967305500000000000,0.12014970307030800000000000,0.18493288502213200000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2024,2,0.23602384577899000000000000,174.93943333725100000000000000,167.74393293619900000000000000,53.17897551419830000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,106.43703339227300000000000000,83.27104736356860000000000000,0.27075602692255700000000000,0.18368184826953800000000000,0.22276739399225200000000000,0.12457773875111100000000000,0.19821699206454200000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2025,2,0.23806186484165100000000000,174.72745819968500000000000000,167.74393293619900000000000000,53.23932422664550000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,107.47004363193200000000000000,84.41571224197680000000000000,0.26177821776409000000000000,0.17919294369030500000000000,0.21827848941301900000000000,0.12906664333034400000000000,0.21168370580224200000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2026,2,0.24011748179441500000000000,174.51573991363700000000000000,167.74393293619900000000000000,53.30438500454270000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,108.45649849212100000000000000,85.57611197331810000000000000,0.25267699737021700000000000,0.17464233349336800000000000,0.21372787921608200000000000,0.13361725352728100000000000,0.22533553639305200000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2027,2,0.24219084859157100000000000,174.30427816787800000000000000,167.74393293619900000000000000,53.37472532844350000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,109.39938989196800000000000000,86.75246285286090000000000000,0.24345066929888100000000000,0.17002916945770000000000000,0.20911471518041400000000000,0.13823041756294900000000000,0.23917502850005600000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2028,2,0.24428211849950100000000000,174.09307265155600000000000000,167.74393293619900000000000000,53.45100760142670000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,110.30145898352400000000000000,87.94498414912270000000000000,0.23409751378830600000000000,0.16535259170241200000000000,0.20443813742512600000000000,0.14290699531823700000000000,0.25320476176591900000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2029,2,0.24639144610801500000000000,173.88212305419800000000000000,167.74393293619900000000000000,53.53400986287620000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,111.16522188916700000000000000,89.15389814474160000000000000,0.22461578743643300000000000,0.16061172852647600000000000,0.19969727424919000000000000,0.14764785849417300000000000,0.26742735129372900000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2030,2,0.24851898734177200000000000,173.67142906570400000000000000,167.74393293619900000000000000,53.62465217393200000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,111.99299233286700000000000000,90.37943017790910000000000000,0.21500372287595900000000000,0.15580569624623900000000000,0.19489124196895300000000000,0.15245389077441000000000000,0.28184544813443900000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2031,2,0.25019266032709200000000000,173.55192589996300000000000000,167.74393293619900000000000000,53.67914250168780000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,112.44157087167300000000000000,91.07298905293010000000000000,0.20956401791291500000000000,0.15308584376471700000000000,0.19217138948743100000000000,0.15517374325593200000000000,0.29000500557900600000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2032,2,0.25187760481038400000000000,173.43250496425000000000000000,167.74393293619900000000000000,53.73658886311040000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,112.87988712051000000000000000,91.77187019997890000000000000,0.20408256942872600000000000,0.15034511952262300000000000,0.18943066524533600000000000,0.15791446749802600000000000,0.29822717830528800000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2033,2,0.25357389670054200000000000,173.31316620198400000000000000,167.74393293619900000000000000,53.79723668495130000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,113.30827688183000000000000000,92.47611446141290000000000000,0.19855905708955800000000000,0.14758336335303800000000000,0.18666890907575200000000000,0.16067622366761100000000000,0.30651244681404100000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2034,2,0.25528161241767700000000000,173.19390955662100000000000000,167.74393293619900000000000000,53.86135933485610000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,113.72706148595000000000000000,93.18576299300820000000000000,0.19299315810337700000000000,0.14480041385994800000000000,0.18388595958266200000000000,0.16345917316070100000000000,0.31486129529331200000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2035,2,0.25700082889655700000000000,173.07473497165700000000000000,167.74393293619900000000000000,53.92926221409170000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,114.13654856255800000000000000,93.90085726636430000000000000,0.18738454720109100000000000,0.14199610840880500000000000,0.18108165413151900000000000,0.16626347861184400000000000,0.32327421164674000000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2036,2,0.25873162359007200000000000,172.95564239062500000000000000,167.74393293619900000000000000,54.00128759137850000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,114.53703276339400000000000000,94.62143907132780000000000000,0.18173289661754100000000000,0.13917028311703000000000000,0.17825582883974400000000000,0.16908930390361900000000000,0.33175168752206700000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
2037,2,0.26047407447272900000000000,172.83663175709800000000000000,167.74393293619900000000000000,54.07782033926330000000000000,89.36777568442830000000000000,107.57827401940900000000000000,130.13224469381200000000000000,141.80423186980800000000000000,114.92879643965400000000000000,95.34755051843470000000000000,0.17603787607234000000000000,0.13632277284443000000000000,0.17540831856714300000000000,0.17193681417621900000000000,0.34029421833986800000000000,0.92697288573075200000000000,0.82957178975011600000000000,0.11745208229302100000000000,0.28781600112240500000000000,0.57295225649267100000000000,0.82089747857796500000000000
