諸設定値,,,,,,,,,,,,,,,,,,,,,,
年,ケース,短時間非正規雇用割合,平均労働時間（正規）,平均労働時間（フル非正規）,平均労働時間（非正規20未満）,平均労働時間（非正規20～24）,平均労働時間（非正規25～29）,平均労働時間（非正規30～34）,平均労働時間（ｩ営）,平均労働時間（短被）,平均労働時間（短雇）,15時間未満,15～19時間,20～24時間,25～29時間,30～34時間,厚年適用率（正規）,厚年適用率（フル非正規）,厚年適用率（～20時間）,厚年適用率（20～24時間）,厚年適用率（25～29時間）,厚年適用率（30～34時間）
2020,6,0.2320000000000000,174.4740141569250000,167.4069215179470000,52.7428486893187000,89.5408084045701000,107.4652933042470000,129.6228652860700000,140.4161664645390000,103.8260460966350000,80.9444387820017000,0.2875471698113210,0.1879245283018870,0.2369811320754720,0.1184905660377360,0.1690566037735850,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2021,6,0.2320000000000000,175.3482879299610000,167.4968497600690000,52.8362098752517000,90.2235421893716000,108.4244576719760000,130.1094418456760000,140.7211429930510000,104.3820472569200000,81.0845655997671000,0.2912621359223300,0.1911874533233760,0.2315160567587750,0.1157580283793880,0.1702763256161310,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2022,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2023,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2024,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2025,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2026,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2027,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2028,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2029,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2030,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2031,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2032,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2033,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
2034,6,0.2320000000000000,175.3641554137380000,167.7439329361990000,53.0705237771367000,89.3677756844283000,107.5782740194090000,130.1322446938120000,141.8042318698080000,104.2179449254960000,81.0280716093723000,0.2883480825958700,0.1924778761061950,0.2315634218289090,0.1157817109144540,0.1718289085545720,0.9269728857307520,0.8295717897501160,0.1174520822930210,0.2878160011224050,0.5729522564926710,0.8208974785779650
