îN,ê´,çáåv,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2020,2,64796518,409126,425504,446610,458758,476786,489602,487651,500926,502649,513465,517816,520562,530779,527345,523987,524155,544825,548945,570651,590112,606718,610829,621512,622835,624071,631637,628011,612692,618013,614649,627606,638891,656763,675243,684020,711507,735711,745911,747373,751921,785600,804214,835346,856197,896212,933904,986180,1007110,987144,960220,931708,918600,897008,894878,701484,862599,808886,788940,763735,749072,755430,768620,748855,728040,764705,787569,788835,839130,885623,935775,1005434,1098181,1085163,1023795,639054,686501,834870,800016,814920,782135,702099,599611,628598,629361,612336,564951,513071,489221,447622,402847,350475,309423,267062,210549,174069,135592,100536,75866,55873,38994,28264,15144,10572,6464,4245,5818
2021,2,64483231,405212,408410,425197,446424,458490,476583,489404,487580,500856,502636,513560,518030,520791,530881,527449,524238,523853,544504,549387,573609,596780,607116,609961,621725,622657,622247,629212,625310,610460,616108,612842,625640,636950,655053,673533,682469,710022,734584,744945,746331,751023,784691,803263,834418,855337,895203,932861,985002,1005680,985729,958601,930217,916989,895223,893069,700033,860604,806870,786803,761572,746822,753012,765914,746243,725174,761537,784042,784916,834434,880230,929630,998270,1089358,1075326,1013888,631970,677995,823342,787686,800558,766402,685788,583638,609376,607474,587359,538380,484947,458576,415258,369090,316077,275067,234057,179044,145035,109027,79019,58014,42010,28356,19823,10224,6862,4026,5728
2022,2,64189000,388517,404419,408302,425295,446531,458483,476564,489516,487712,501155,502830,513908,518615,521127,531318,527791,524082,524179,548837,557242,583877,605161,613773,616908,627722,626246,624075,630295,626028,610884,615990,612770,625369,636775,654813,673322,682253,709645,734011,744501,745788,750789,784330,802892,834106,854942,894648,932104,984212,1004603,984469,957341,928670,915581,893512,891390,698510,858772,804907,784703,759501,744499,750568,762997,743216,722093,758006,780143,780486,829415,874496,922799,990351,1079590,1064510,1002543,623937,668284,810292,773266,783830,747973,666681,564985,586951,581720,558614,507893,453183,423947,379023,332021,280017,239015,199012,147009,116007,85005,59004,42003,29385,19057,12818,6352,4091,5303
2023,2,63859450,368838,388004,404192,408197,425273,446566,458610,476818,489563,487953,501468,503096,514449,518875,521408,531558,527583,524058,529933,562142,569423,594936,615618,621875,622235,631326,628645,626339,631839,627352,612221,616936,613873,626210,637215,655228,673408,682270,709553,734014,744342,745577,750509,783909,802491,833479,854186,893797,931051,982820,1002995,982826,955729,926734,913555,891477,889252,696766,856449,802405,781992,756725,741759,747601,759827,739719,718355,753985,775759,775636,823601,867907,914895,981072,1068471,1051993,989581,614658,657260,794896,756661,764664,727210,645224,543475,561160,552328,525871,473599,417892,385469,339533,292597,241667,202721,165772,116839,88878,62913,42941,28324,19601,12232,7905,3759,5075
2024,2,63510399,334442,333315,347297,376137,409556,425950,447070,459364,477622,490658,488891,502309,504152,515107,519377,521894,532583,531745,533654,540333,565972,571982,592634,609658,623342,624265,631492,629668,628755,635153,630793,614817,619569,615871,628549,639496,656940,675079,683760,711322,735624,745851,747237,751607,785015,803315,834005,854369,893799,930826,982288,1002473,981957,954499,925536,911996,890092,887473,695184,854380,800571,780255,754714,739608,745211,757413,737037,715555,750499,771632,771241,818518,861775,908115,972612,1058365,1041391,977777,606991,647506,780853,741228,746238,706619,624574,523555,537252,524735,495704,441971,385398,350564,304127,257246,208970,171203,135610,97377,72922,50826,33329,22034,14092,8473,5254,5359
2025,2,63177955,332561,334574,333603,347611,376395,409769,426184,447374,459742,478055,491129,489374,502822,504703,515475,519641,522962,535671,537355,541381,549094,574514,579565,598987,614492,626651,626562,633365,631282,630072,636158,631570,615449,620074,616231,628736,639562,656994,675191,683914,711471,735731,745892,747199,751483,784765,802918,833448,853646,892886,929714,980942,1000930,980291,952753,923733,910099,888100,885318,693327,851960,798141,777736,752117,736874,742235,754130,733556,711860,746257,766846,765992,812406,854699,899865,962760,1046326,1028019,963536,596906,635171,763741,722510,724483,682779,600138,499782,508944,492656,460551,405680,348892,312453,266394,221017,175727,140580,108459,75656,54894,36980,23386,14880,9144,5276,6068
2026,2,62833112,328906,332697,334863,333923,347875,376612,410005,426488,447751,460173,478522,491613,489882,503372,505070,515740,520711,526055,541276,545075,550142,557660,582095,585899,603820,617806,628952,628446,634979,632599,631084,636936,632198,615958,620435,616427,628811,639627,657116,675352,684078,711592,735782,745861,747082,751258,784389,802394,832755,852787,891833,928454,979448,999254,978521,950920,921833,908087,885968,883017,691357,849411,795596,775094,749373,733968,739057,750616,729820,707888,741688,761693,760341,805818,847036,890875,951966,1033091,1013275,947780,585716,621474,744761,701779,700426,656485,573309,473847,478291,458225,423263,367765,311440,274144,229291,186222,144600,112689,84472,57100,40047,26019,15838,9684,5711,6506
2027,2,62477796,326752,329048,332989,335184,334191,348095,376849,410309,426864,448180,460636,479002,492122,490428,503739,505336,516810,523806,531676,548990,553830,558709,565236,588426,590727,607144,620114,630839,630069,636296,633612,631867,637564,632704,616323,620632,616510,628884,639759,657288,675522,684212,711657,735761,745752,746865,750911,783887,801738,831929,851794,890637,927052,977824,997472,976662,948990,919820,905935,883691,880574,689285,846740,792927,772302,746454,730864,735656,746844,725802,703608,736766,756143,754251,798686,838689,881028,940100,1018497,996961,930293,573285,606271,723726,678839,673871,627587,544004,445725,445342,421639,384228,328779,273701,236379,193563,153553,116171,87977,63915,41767,28255,17671,10336,6065,7027
2028,2,62113317,325449,326899,329344,333312,335452,334412,348334,377153,410684,427289,448641,461111,479507,492669,490794,504006,506407,519908,529431,539414,557738,562394,566286,571549,593252,594066,609466,622007,632465,631394,637309,634396,632499,638071,633066,616525,620716,616592,629024,639941,657468,675664,684292,711651,735663,745543,746528,750443,783258,800954,830972,850663,889304,925526,976096,995599,974703,946942,917665,903635,881273,878000,687119,843938,790106,769332,743337,727542,732006,742787,721472,698996,731463,750161,747659,790920,829548,870204,927014,1002346,978851,910859,559477,589410,700432,653496,644656,595983,512187,415454,410272,383263,344001,289402,236407,199922,159931,123635,90908,66733,46875,29549,19243,11565,6492,7548
2029,2,61740036,324052,325599,327198,329669,333581,335673,334652,348638,377525,411106,427745,449111,461608,480049,493036,491062,505078,509511,525542,537176,548185,566299,569973,572600,576371,596595,596414,611372,623640,633792,632414,638094,635029,633010,638433,633262,616614,620799,616739,629212,640130,657620,675751,684302,711569,735466,745214,746070,749851,782502,800044,829881,849401,887851,923901,974281,993625,972626,944752,915362,901192,878724,875304,684851,840976,787106,766161,740001,723977,728080,738413,716802,694025,725746,743687,740484,782417,819500,858267,912533,984416,958718,889262,544154,570726,674679,625587,612668,561626,477890,383183,373416,343630,303276,250395,200316,165516,129048,96973,69126,49068,33251,20180,12629,7284,8114
2030,2,61358060,322347,324206,325901,327524,329940,333803,335914,334956,349007,377942,411558,428209,449605,462145,480415,493304,492135,508183,515162,533298,545954,556759,573880,576292,577423,579729,598947,598344,613016,624973,634815,633204,638728,635542,633376,638630,633346,616702,620948,616936,629408,640291,657717,675768,684237,711391,735151,744766,745490,749138,781624,799003,828661,848023,886304,922194,972367,991532,970403,942410,912915,898616,876054,872474,682457,837826,783901,762767,736422,720143,723846,733694,711766,688663,719559,736642,732629,773071,808418,845056,896455,964475,936330,865277,527164,550055,646292,594997,577851,524540,441268,349204,335273,303415,262837,212552,166167,133837,101448,73915,50957,34899,22769,13280,7976,8930
2031,2,60967406,320301,322505,324510,326229,327796,330162,334044,336218,335324,349419,378385,412016,428694,450137,462509,480684,494378,495247,513838,522947,542087,554532,564338,580203,581117,580783,582108,600882,600008,614360,626000,635607,633842,639241,635909,633579,638714,633429,616855,621145,617139,629576,640397,657746,675711,684078,711097,734718,744196,744791,748306,780618,797839,827328,846555,884678,920395,970337,989293,968027,939922,910334,895917,873253,869484,679914,834460,780472,759125,732572,716006,719276,728602,706334,682863,712828,728932,723998,762764,796154,830386,878567,942290,911452,838664,508352,527249,615142,561658,540218,484879,402639,313966,296482,263389,223511,176657,134642,105447,77511,54624,36336,23961,15025,8409,9832
2032,2,60568001,317871,320463,322812,324840,326501,328019,330404,334349,336586,335734,349854,378833,412495,429218,450500,462779,481759,497489,500923,521627,531762,550670,562111,570653,585030,584475,583162,584067,602551,601369,615396,626797,636247,634359,639610,636113,633668,638797,633578,617057,621351,617315,629690,640436,657701,675561,683805,710687,734165,743508,743974,747353,779491,796564,825907,845012,882965,918488,968166,986899,965501,937296,907630,893085,870293,866304,677199,830857,776792,755206,728416,711540,714342,723106,700456,676554,705464,720459,714478,751357,782534,814060,858655,917622,883830,809176,487579,502198,581155,525577,499911,442970,362497,278051,257785,224372,186116,143434,106315,80754,57422,39051,25014,15854,9540,10629
